
 Profile 2

 Sensors were turned on at  10/17/2015 03:36:16
 Vehicle began profiling at 10/17/2015 03:38:16

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 03:46:10,331,11.0,154.650,0.00,104,52,73
10/17/2015 03:46:15,294,11.0,155.910,0.00,111,54,71
10/17/2015 03:46:20,196,11.0,157.260,0.00,111,52,67
10/17/2015 03:46:25,202,11.0,158.530,0.00,112,51,72
10/17/2015 03:46:30,422,10.9,159.840,0.00,106,54,72
10/17/2015 03:46:35,270,11.0,161.120,0.00,107,51,70
10/17/2015 03:46:40,184,11.1,162.410,0.00,106,52,69
10/17/2015 03:46:45,298,11.0,163.750,0.00,100,52,68
10/17/2015 03:46:50,323,11.0,165.020,0.00,106,53,70
10/17/2015 03:46:55,208,11.0,166.330,0.00,106,54,69
10/17/2015 03:47:00,471,10.9,167.590,0.00,104,54,70
10/17/2015 03:47:05,26,11.1,168.880,0.00,100,53,69
10/17/2015 03:47:10,452,10.9,170.110,0.00,107,53,72
10/17/2015 03:47:15,108,11.1,171.440,0.00,107,53,71
10/17/2015 03:47:20,370,11.0,172.720,0.00,104,54,69
10/17/2015 03:47:25,193,11.0,173.990,0.00,110,53,70
10/17/2015 03:47:30,215,11.0,175.320,0.00,101,51,69
10/17/2015 03:47:35,280,11.0,176.600,0.00,105,51,69
10/17/2015 03:47:40,328,11.0,177.910,0.00,99,53,69
10/17/2015 03:47:45,1,11.1,179.200,0.00,105,54,69
10/17/2015 03:47:50,481,10.9,180.510,0.00,96,52,68
10/17/2015 03:47:55,4,11.1,181.790,0.00,107,52,70
10/17/2015 03:48:00,488,10.9,183.100,0.00,97,53,69
10/17/2015 03:48:05,62,11.1,184.390,0.00,104,53,71
10/17/2015 03:48:10,435,11.0,185.690,0.00,99,53,70
10/17/2015 03:48:15,94,11.1,186.990,0.00,97,52,70
10/17/2015 03:48:20,418,10.9,188.310,0.00,100,53,70
10/17/2015 03:48:25,407,11.0,189.590,0.00,120,53,70
10/17/2015 03:48:30,47,11.0,190.920,0.00,100,50,68
10/17/2015 03:48:35,491,11.0,192.180,0.00,101,52,69
10/17/2015 03:48:40,46,11.0,193.530,0.00,104,51,69
10/17/2015 03:48:45,379,11.0,194.790,0.00,105,54,70
10/17/2015 03:48:50,234,11.0,196.100,0.00,100,52,71
10/17/2015 03:48:55,299,11.0,197.330,0.00,107,53,70
10/17/2015 03:49:00,346,11.0,198.630,0.00,96,51,70
10/17/2015 03:49:05,190,11.0,199.910,0.00,102,51,72
10/17/2015 03:49:10,339,11.0,201.210,0.00,102,55,71
10/17/2015 03:49:15,157,11.0,202.520,0.00,102,52,69
10/17/2015 03:49:20,306,11.0,203.810,0.00,100,53,71
10/17/2015 03:49:25,356,11.0,205.110,0.00,100,52,72
10/17/2015 03:49:30,96,11.1,206.440,0.00,119,50,71
10/17/2015 03:49:35,409,10.9,207.740,0.00,123,51,70
10/17/2015 03:49:40,178,11.1,209.050,0.00,105,53,70
10/17/2015 03:49:45,432,10.9,210.350,0.00,104,51,74
10/17/2015 03:49:50,326,11.0,211.610,0.00,101,51,74
10/17/2015 03:49:55,114,11.0,212.920,0.00,106,52,69
10/17/2015 03:50:00,430,11.0,214.190,0.00,101,53,69
10/17/2015 03:50:05,177,11.0,215.550,0.00,107,52,71
10/17/2015 03:50:10,472,11.0,216.870,0.00,99,53,70
10/17/2015 03:50:15,1,11.1,218.220,0.00,108,54,71
10/17/2015 03:50:20,417,11.0,219.490,0.00,110,54,71
10/17/2015 03:50:25,137,11.0,220.790,0.00,107,53,72
10/17/2015 03:50:30,304,11.0,222.070,0.00,110,52,72
10/17/2015 03:50:35,114,11.0,223.330,0.00,111,52,69
10/17/2015 03:50:40,359,11.0,224.540,0.00,113,53,68
10/17/2015 03:50:45,5,11.1,225.850,0.00,109,55,69
10/17/2015 03:50:50,197,11.0,227.150,0.00,108,53,71
10/17/2015 03:50:55,502,10.9,228.390,0.00,114,51,71
10/17/2015 03:51:00,60,11.1,229.710,0.00,111,54,71
10/17/2015 03:51:05,327,11.0,230.980,0.00,119,54,70
10/17/2015 03:51:10,293,11.0,232.280,0.00,120,53,70
10/17/2015 03:51:15,364,11.0,233.570,0.00,124,52,73
10/17/2015 03:51:20,154,11.0,234.900,0.00,115,53,71
10/17/2015 03:51:25,436,10.9,236.170,0.00,109,53,68
10/17/2015 03:51:30,166,11.0,237.460,0.00,107,53,70
10/17/2015 03:51:35,428,10.9,238.760,0.00,129,51,71
10/17/2015 03:51:40,82,11.1,240.030,0.00,118,55,71
10/17/2015 03:51:45,369,10.9,241.280,0.00,119,55,70
10/17/2015 03:51:50,249,11.0,242.540,0.00,119,52,71
10/17/2015 03:51:55,259,11.0,243.860,0.00,120,54,71
10/17/2015 03:52:00,232,11.0,245.110,0.00,130,55,70
10/17/2015 03:52:05,249,11.0,246.410,0.00,122,53,71
10/17/2015 03:52:10,177,11.0,247.690,0.00,134,53,74
10/17/2015 03:52:15,275,11.0,248.990,0.00,120,53,71
10/17/2015 03:52:20,197,11.0,250.130,0.00,117,53,68
10/17/2015 03:52:25,482,10.9,251.240,0.00,119,52,71
10/17/2015 03:52:30,116,11.0,252.520,0.00,124,53,73
10/17/2015 03:52:35,312,11.0,253.810,0.00,114,53,70
10/17/2015 03:52:40,196,11.0,255.010,0.00,116,53,70
10/17/2015 03:52:45,290,11.0,256.300,0.00,111,55,72
10/17/2015 03:52:50,415,11.0,257.600,0.00,114,53,72
10/17/2015 03:52:55,201,11.0,258.890,0.00,116,52,72
10/17/2015 03:53:00,211,11.0,260.190,0.00,108,53,68
10/17/2015 03:53:05,216,11.0,261.400,0.00,118,53,72
10/17/2015 03:53:10,240,11.0,262.690,0.00,116,53,71
10/17/2015 03:53:15,295,11.0,263.970,0.00,120,55,72
10/17/2015 03:53:20,274,11.0,265.250,0.00,115,52,71
10/17/2015 03:53:25,247,11.0,266.590,0.00,113,52,72
10/17/2015 03:53:30,223,11.0,267.860,0.00,114,53,70
10/17/2015 03:53:35,258,11.0,269.170,0.00,114,53,71
10/17/2015 03:53:40,242,11.0,270.460,0.00,110,53,71
10/17/2015 03:53:45,278,11.0,271.750,0.00,118,54,73
10/17/2015 03:53:50,217,11.0,273.060,0.00,113,54,70
10/17/2015 03:53:55,331,10.9,274.320,0.00,113,53,69
10/17/2015 03:54:00,207,11.0,275.590,0.00,114,52,70
10/17/2015 03:54:05,343,11.0,276.890,0.00,126,53,72
10/17/2015 03:54:10,247,11.0,278.200,0.00,117,53,71
10/17/2015 03:54:15,242,11.0,279.480,0.00,127,53,71
10/17/2015 03:54:20,286,11.0,280.790,0.00,144,52,69
10/17/2015 03:54:25,263,11.0,282.090,0.00,123,52,72
10/17/2015 03:54:30,406,11.0,283.380,0.00,124,52,70
10/17/2015 03:54:35,77,11.1,284.710,0.00,119,52,68
10/17/2015 03:54:40,556,11.0,285.990,0.00,114,53,71
10/17/2015 03:54:45,81,11.0,287.310,0.00,118,54,72
10/17/2015 03:54:50,352,11.0,288.610,0.00,114,53,72
10/17/2015 03:54:55,276,11.0,289.920,0.00,162,52,71
10/17/2015 03:55:00,237,11.0,291.220,0.00,122,54,71
10/17/2015 03:55:05,290,11.0,292.500,0.00,121,52,71
10/17/2015 03:55:10,154,11.0,293.810,0.00,118,52,69
10/17/2015 03:55:15,326,11.0,295.100,0.00,130,54,71
10/17/2015 03:55:20,192,11.0,296.390,0.00,141,55,71
10/17/2015 03:55:25,399,11.0,297.700,0.00,119,52,72
10/17/2015 03:55:30,296,11.0,298.990,0.00,124,53,70
10/17/2015 03:55:35,224,11.0,300.310,0.00,127,53,72
10/17/2015 03:55:40,283,11.0,301.570,0.00,115,53,72
10/17/2015 03:55:45,273,11.0,302.890,0.00,120,54,72
10/17/2015 03:55:50,142,11.0,304.190,0.00,121,56,73
10/17/2015 03:55:55,388,10.9,305.480,0.00,112,53,72
10/17/2015 03:56:00,162,11.0,306.780,0.00,112,55,69
10/17/2015 03:56:05,316,11.0,308.090,0.00,118,54,73
10/17/2015 03:56:10,261,11.0,309.400,0.00,117,52,70
10/17/2015 03:56:15,343,11.0,310.690,0.00,102,54,73
10/17/2015 03:56:20,73,11.1,311.990,0.00,105,53,70
10/17/2015 03:56:25,414,11.0,313.280,0.00,95,54,69
10/17/2015 03:56:30,21,11.1,314.600,0.00,94,52,71
10/17/2015 03:56:35,399,10.9,315.880,0.00,91,54,71
10/17/2015 03:56:40,196,11.0,317.180,0.00,89,53,73
10/17/2015 03:56:45,281,11.0,318.480,0.00,93,54,72
10/17/2015 03:56:50,268,11.0,319.790,0.00,92,56,73
10/17/2015 03:56:55,62,11.1,321.080,0.00,100,51,72
10/17/2015 03:57:00,323,11.0,322.390,0.00,116,51,73
10/17/2015 03:57:05,143,11.1,323.690,0.00,94,53,73
10/17/2015 03:57:10,371,10.9,325.000,0.00,102,51,71
10/17/2015 03:57:15,300,11.0,326.290,0.00,128,53,72
10/17/2015 03:57:20,256,11.0,327.590,0.00,133,55,71
10/17/2015 03:57:25,284,11.0,328.900,0.00,102,52,72
10/17/2015 03:57:30,324,11.0,330.190,0.00,105,52,73
10/17/2015 03:57:35,224,11.0,331.490,0.00,107,51,73
10/17/2015 03:57:40,130,11.0,332.810,0.00,121,52,71
10/17/2015 03:57:45,310,11.0,334.100,0.00,102,54,74
10/17/2015 03:57:50,230,11.0,335.430,0.00,107,54,71
10/17/2015 03:57:55,223,11.0,336.730,0.00,114,52,72
10/17/2015 03:58:00,355,11.0,338.020,0.00,108,54,70
10/17/2015 03:58:05,261,11.0,339.320,0.00,103,54,72
10/17/2015 03:58:10,160,11.0,340.640,0.00,103,53,70
10/17/2015 03:58:15,400,11.0,341.920,0.00,110,55,71
10/17/2015 03:58:20,104,11.0,343.230,0.00,119,51,71
10/17/2015 03:58:25,373,11.0,344.500,0.00,108,54,70
10/17/2015 03:58:30,16,11.1,345.830,0.00,120,53,73
10/17/2015 03:58:35,558,10.9,347.120,0.00,110,54,73
10/17/2015 03:58:40,36,11.1,348.430,0.00,129,54,73
10/17/2015 03:58:45,463,10.9,349.720,0.00,109,53,72
10/17/2015 03:58:50,40,11.1,351.020,0.00,114,52,72
10/17/2015 03:58:55,382,11.0,352.320,0.00,127,51,74
10/17/2015 03:59:00,267,11.0,353.610,0.00,118,55,71
10/17/2015 03:59:05,217,11.0,354.920,0.00,116,53,71
10/17/2015 03:59:10,355,11.0,356.210,0.00,171,52,71
10/17/2015 03:59:15,128,11.0,357.520,0.00,123,53,73
10/17/2015 03:59:20,417,11.0,358.800,0.00,116,53,73
10/17/2015 03:59:25,89,11.0,360.110,0.00,163,54,70
10/17/2015 03:59:30,494,10.9,361.390,0.00,134,53,71
10/17/2015 03:59:35,141,11.0,362.700,0.00,123,52,73
10/17/2015 03:59:40,194,11.0,364.000,0.00,121,54,72
10/17/2015 03:59:45,318,11.0,365.290,0.00,116,54,72
10/17/2015 03:59:50,199,11.0,366.600,0.00,119,54,74
10/17/2015 03:59:55,350,11.0,367.890,0.00,128,54,72
10/17/2015 04:00:00,103,11.0,369.210,0.00,121,53,72
10/17/2015 04:00:05,510,10.9,370.500,0.00,125,54,73
10/17/2015 04:00:10,32,11.1,371.780,0.00,121,52,72
10/17/2015 04:00:15,399,10.9,373.090,0.00,127,54,74
10/17/2015 04:00:20,81,11.1,374.380,0.00,145,52,72
10/17/2015 04:00:25,361,11.0,375.680,0.00,135,54,73
10/17/2015 04:00:30,118,11.0,377.000,0.00,122,55,74
10/17/2015 04:00:35,435,11.0,378.280,0.00,127,54,72
10/17/2015 04:00:40,121,11.0,379.600,0.00,135,54,73
10/17/2015 04:00:45,242,11.0,380.900,0.00,172,53,74
10/17/2015 04:00:50,287,11.0,382.200,0.00,129,54,72
10/17/2015 04:00:55,160,11.0,383.500,0.00,125,55,73
10/17/2015 04:01:00,386,11.0,384.800,0.00,134,54,73
10/17/2015 04:01:05,253,11.0,386.090,0.00,177,52,72
10/17/2015 04:01:10,249,11.0,387.400,0.00,137,53,72
10/17/2015 04:01:15,267,11.0,388.690,0.00,143,52,73
10/17/2015 04:01:20,241,11.0,389.990,0.00,144,54,71
10/17/2015 04:01:25,295,11.0,391.300,0.00,125,53,72
10/17/2015 04:01:30,277,11.0,392.610,0.00,128,53,74
10/17/2015 04:01:35,236,11.0,393.900,0.00,139,53,71
10/17/2015 04:01:40,318,11.0,395.210,0.00,129,54,73
