
 Profile 346

 Sensors were turned on at  04/25/2017 16:00:02
 Vehicle began profiling at 04/25/2017 16:02:05

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/25/2017 16:02:05,0,11.1,0.000,0.00,0.00,104,146,567
04/25/2017 16:02:15,210,10.7,0.000,0.00,0.00,101,149,567
04/25/2017 16:02:25,183,10.8,0.000,0.00,0.00,99,146,567
04/25/2017 16:02:38,294,10.7,182.890,386.06,3.80,98,144,567
04/25/2017 16:02:49,151,10.9,185.850,385.61,3.80,97,158,567
04/25/2017 16:02:59,158,10.9,188.430,387.18,3.80,97,147,567
04/25/2017 16:03:09,158,10.9,191.230,385.31,3.80,95,149,566
04/25/2017 16:03:19,161,10.9,193.820,386.54,3.80,97,145,566
04/25/2017 16:03:29,166,10.9,196.530,385.48,3.80,97,148,566
04/25/2017 16:03:39,150,10.9,199.290,385.51,3.80,97,145,566
04/25/2017 16:03:49,161,10.9,201.960,384.85,3.79,96,146,566
04/25/2017 16:03:59,158,10.9,204.480,385.34,3.79,96,145,566
04/25/2017 16:04:09,149,10.9,207.230,385.72,3.78,93,147,566
04/25/2017 16:04:19,148,10.9,209.940,385.03,3.78,93,146,566
04/25/2017 16:04:29,151,10.9,212.550,386.58,3.78,94,151,566
04/25/2017 16:04:39,142,10.9,215.140,385.13,3.78,94,153,566
04/25/2017 16:04:49,154,10.9,217.840,385.93,3.77,93,144,566
04/25/2017 16:04:59,156,10.8,220.620,386.30,3.77,93,155,566
04/25/2017 16:05:09,144,10.9,223.260,385.15,3.77,92,144,566
04/25/2017 16:05:19,141,10.8,225.860,385.73,3.77,91,142,566
04/25/2017 16:05:29,161,10.8,228.560,385.77,3.77,91,146,566
04/25/2017 16:05:39,146,10.8,231.240,384.80,3.77,91,145,566
04/25/2017 16:05:49,161,10.8,233.880,384.44,3.77,90,144,566
04/25/2017 16:05:59,168,10.8,236.560,384.60,3.77,88,144,565
04/25/2017 16:06:09,126,10.8,239.040,385.36,3.77,78,134,565
04/25/2017 16:06:19,141,10.8,241.910,382.15,3.75,72,129,566
04/25/2017 16:06:29,140,10.8,244.500,380.78,3.74,63,126,565
04/25/2017 16:06:39,154,10.8,247.080,378.46,3.74,60,121,565
04/25/2017 16:06:49,141,10.8,249.830,377.59,3.74,60,122,565
04/25/2017 16:06:59,162,10.8,252.470,376.55,3.74,59,122,565
04/25/2017 16:07:09,157,10.8,255.120,376.74,3.74,60,124,565
04/25/2017 16:07:19,155,10.8,257.760,377.68,3.74,60,123,565
04/25/2017 16:07:29,136,10.8,260.480,376.40,3.73,57,122,565
04/25/2017 16:07:39,152,10.8,263.200,375.90,3.73,60,122,565
04/25/2017 16:07:49,159,10.8,265.880,375.33,3.72,59,121,565
04/25/2017 16:07:59,153,10.8,268.520,376.02,3.72,60,122,565
04/25/2017 16:08:09,153,10.8,271.160,375.84,3.72,58,123,565
04/25/2017 16:08:19,136,10.8,273.740,375.79,3.71,58,124,565
04/25/2017 16:08:29,144,10.8,276.420,374.95,3.72,59,124,565
04/25/2017 16:08:39,166,10.8,279.050,375.00,3.71,60,122,565
04/25/2017 16:08:49,153,10.8,281.890,375.36,3.71,58,121,565
04/25/2017 16:08:59,155,10.8,284.460,375.56,3.71,58,121,565
04/25/2017 16:09:09,157,10.8,287.020,375.98,3.70,59,123,565
04/25/2017 16:09:19,154,10.8,289.800,376.28,3.70,60,141,565
04/25/2017 16:09:29,146,10.8,292.430,375.11,3.69,58,122,565
04/25/2017 16:09:39,162,10.8,295.050,375.14,3.69,57,122,565
04/25/2017 16:09:49,155,10.8,297.670,375.01,3.69,59,122,565
04/25/2017 16:09:59,154,10.8,300.250,375.13,3.67,57,121,565
04/25/2017 16:10:09,157,10.8,302.990,374.82,3.67,58,122,565
04/25/2017 16:10:19,142,10.8,305.580,374.64,3.66,59,120,565
04/25/2017 16:10:29,154,10.8,308.320,374.52,3.64,56,120,565
04/25/2017 16:10:39,166,10.8,310.950,375.80,3.63,56,121,565
04/25/2017 16:10:49,156,10.8,313.560,374.97,3.62,57,125,565
04/25/2017 16:10:59,154,10.8,316.180,375.96,3.62,57,122,565
04/25/2017 16:11:09,159,10.8,318.850,375.05,3.62,56,121,565
04/25/2017 16:11:19,153,10.8,321.540,375.61,3.62,58,119,565
04/25/2017 16:11:29,152,10.8,324.190,374.92,3.62,58,120,565
04/25/2017 16:11:39,156,10.8,326.850,374.21,3.62,59,120,565
04/25/2017 16:11:49,140,10.8,329.470,375.79,3.62,58,120,565
04/25/2017 16:11:59,142,10.8,332.130,374.90,3.63,58,121,565
04/25/2017 16:12:09,154,10.8,334.800,375.22,3.63,58,121,565
04/25/2017 16:12:19,163,10.8,337.310,375.45,3.63,59,123,565
04/25/2017 16:12:29,143,10.8,340.010,374.51,3.63,57,122,565
04/25/2017 16:12:39,151,10.8,342.600,375.23,3.63,59,130,565
04/25/2017 16:12:49,149,10.8,345.290,375.24,3.63,59,120,565
04/25/2017 16:12:59,147,10.8,347.940,375.74,3.63,59,124,565
04/25/2017 16:13:09,141,10.8,350.640,375.26,3.63,59,122,565
04/25/2017 16:13:19,140,10.8,353.270,375.72,3.63,59,119,565
04/25/2017 16:13:29,138,10.8,355.970,375.64,3.63,61,120,565
04/25/2017 16:13:39,127,10.8,358.560,374.60,3.63,59,120,565
04/25/2017 16:13:49,148,10.8,361.280,374.82,3.63,58,119,565
04/25/2017 16:13:59,149,10.8,363.990,375.58,3.63,59,122,565
04/25/2017 16:14:09,143,10.8,366.660,375.18,3.62,59,118,565
04/25/2017 16:14:19,148,10.8,369.240,374.67,3.62,59,119,565
04/25/2017 16:14:29,144,10.8,371.850,374.63,3.62,59,120,565
04/25/2017 16:14:39,168,10.8,374.530,374.52,3.62,57,120,565
04/25/2017 16:14:49,146,10.8,377.260,375.26,3.62,59,119,565
04/25/2017 16:14:59,139,10.8,379.790,375.50,3.62,58,121,565
04/25/2017 16:15:09,159,10.8,382.540,375.05,3.62,58,121,565
