

 Profile 2

  mmho/cm   Celsius     dbars    hz

  32.9968    4.6645   175.160      0
  32.9970    4.6648   175.170      0
  32.9970    4.6647   175.230      0
  32.9968    4.6646   175.230      0
  32.9974    4.6647   175.160      0
  32.9948    4.6635   175.150      0
  32.9949    4.6619   175.210      0
  32.9939    4.6612   175.220      0
  32.9946    4.6619   175.120      0
  32.9960    4.6629   175.160      0
  32.9968    4.6640   175.240      0
  32.9974    4.6650   175.210      0
  32.9950    4.6633   175.140      0
  32.9956    4.6626   175.190      0
  32.9962    4.6631   175.140      0
  32.9976    4.6651   175.110      0
  32.9949    4.6631   175.170      0
  32.9950    4.6622   175.150      0
  32.9947    4.6620   175.140      0
  32.9944    4.6615   175.170      0
  32.9952    4.6620   175.210      0
  32.9968    4.6646   175.200      0
  32.9946    4.6622   175.230      0
  32.9949    4.6622   175.170      0
  32.9953    4.6621   175.200      0
  32.9956    4.6628   175.250      0
  32.9949    4.6623   175.240      0
  32.9951    4.6622   175.160      0
  32.9950    4.6624   175.100      0
  32.9949    4.6625   175.150      0
  32.9951    4.6622   175.190      0
  32.9954    4.6627   175.260      0
  32.9951    4.6623   175.220      0
  32.9952    4.6622   175.210      0
  32.9960    4.6631   175.180      0
  32.9947    4.6624   175.190      0
  32.9948    4.6619   175.160      0
  32.9946    4.6618   175.190      0
  32.9972    4.6643   175.140      0
  32.9972    4.6650   175.120      0
  32.9972    4.6648   175.150      0
  32.9960    4.6640   175.140      0
  32.9954    4.6627   175.190      0
  32.9958    4.6629   175.140      0
  32.9958    4.6636   175.170      0
  32.9958    4.6633   175.180      0
  32.9956    4.6624   175.210      0
  32.9958    4.6631   175.230      0
  32.9960    4.6635   175.210      0
  32.9956    4.6632   175.270      0
  32.9958    4.6629   175.220      0
  32.9966    4.6642   175.250      0
  32.9964    4.6644   175.240      0
  32.9968    4.6642   175.220      0
  32.9966    4.6640   175.240      0
  32.9968    4.6643   175.210      0
  32.9972    4.6646   175.220      0
  32.9976    4.6646   175.170      0
  32.9976    4.6654   175.180      0
  32.9974    4.6651   175.190      0
  32.9972    4.6649   175.230      0
  32.9970    4.6645   175.200      0
  32.9970    4.6642   175.260      0
  32.9970    4.6643   175.230      0
  32.9970    4.6643   175.170      0
  32.9977    4.6645   175.180      0
  32.9978    4.6653   175.140      0
  32.9978    4.6654   175.140      0
  32.9976    4.6653   175.170      0
  32.9982    4.6658   175.190      0
  32.9980    4.6655   175.250      0
  32.9982    4.6655   175.190      0
  32.9984    4.6660   175.230      0
  32.9986    4.6659   175.210      0
  32.9986    4.6660   175.160      0
  32.9988    4.6659   175.160      0
  32.9988    4.6665   175.150      0
  32.9990    4.6662   175.130      0
  32.9986    4.6659   175.190      0
  32.9988    4.6663   175.210      0
  32.9986    4.6660   175.290      0
  32.9976    4.6647   175.230      0
  32.9960    4.6633   175.180      0
  32.9956    4.6625   175.130      0
  32.9982    4.6650   175.120      0
  32.9976    4.6650   175.160      0
  32.9976    4.6648   175.260      0
  32.9982    4.6647   175.240      0
  32.9976    4.6649   175.220      0
  32.9984    4.6656   175.150      0
