
 Profile 333

 Sensors were turned on at  04/14/2017 20:00:02
 Vehicle began profiling at 04/14/2017 20:02:03

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/14/2017 20:02:03,0,11.0,0.000,0.00,0.00,54,128,570
04/14/2017 20:02:13,210,10.7,0.000,0.00,0.00,53,125,570
04/14/2017 20:02:23,221,10.8,0.000,0.00,0.00,55,125,569
04/14/2017 20:02:36,160,10.8,2526.960,338.39,2.15,55,126,569
04/14/2017 20:02:46,83,11.0,2523.880,338.05,2.16,54,130,569
04/14/2017 20:02:56,83,11.0,2521.270,337.63,2.16,54,130,569
04/14/2017 20:03:06,82,11.0,2518.390,337.71,2.18,54,130,569
04/14/2017 20:03:16,86,11.0,2515.510,337.74,2.19,53,126,569
04/14/2017 20:03:26,91,11.0,2512.690,338.05,2.21,53,130,569
04/14/2017 20:03:36,76,11.0,2509.980,337.06,2.22,53,124,569
04/14/2017 20:03:46,90,11.0,2507.210,337.44,2.24,53,127,569
04/14/2017 20:03:56,85,10.9,2504.400,336.94,2.24,54,128,569
04/14/2017 20:04:06,96,10.9,2501.520,337.84,2.24,53,124,569
04/14/2017 20:04:16,90,10.9,2498.830,336.39,2.25,53,124,569
04/14/2017 20:04:26,94,10.9,2496.100,336.95,2.29,54,124,569
04/14/2017 20:04:36,100,10.9,2493.190,336.10,2.30,53,122,568
04/14/2017 20:04:46,85,10.9,2490.360,335.82,2.32,52,122,568
04/14/2017 20:04:56,95,10.9,2487.690,336.07,2.32,53,125,568
04/14/2017 20:05:06,85,10.9,2484.960,335.29,2.32,52,123,568
04/14/2017 20:05:16,94,10.9,2482.090,335.63,2.33,54,125,568
04/14/2017 20:05:26,93,10.9,2479.280,335.22,2.35,53,128,568
04/14/2017 20:05:36,91,10.9,2476.670,334.35,2.37,53,124,568
04/14/2017 20:05:46,99,10.9,2473.730,334.67,2.38,53,125,568
04/14/2017 20:05:56,95,10.9,2471.060,333.70,2.38,53,140,568
04/14/2017 20:06:06,98,10.9,2468.190,333.74,2.38,53,137,568
04/14/2017 20:06:16,90,10.9,2465.500,334.40,2.38,53,127,568
04/14/2017 20:06:26,92,10.9,2462.730,333.80,2.38,53,132,568
04/14/2017 20:06:36,91,10.9,2459.870,335.04,2.39,53,135,568
04/14/2017 20:06:46,95,10.9,2457.170,336.11,2.39,52,139,568
04/14/2017 20:06:56,98,10.9,2454.460,336.81,2.39,52,146,568
04/14/2017 20:07:06,102,10.9,2451.720,336.96,2.40,54,141,568
04/14/2017 20:07:16,101,10.9,2448.870,337.32,2.40,54,141,568
04/14/2017 20:07:26,88,10.9,2446.140,337.21,2.41,53,143,568
04/14/2017 20:07:36,97,10.9,2443.490,336.47,2.41,53,144,568
04/14/2017 20:07:46,97,10.8,2440.640,337.20,2.41,52,151,568
04/14/2017 20:07:56,102,10.9,2437.890,336.88,2.41,53,141,568
04/14/2017 20:08:06,103,10.8,2435.170,337.40,2.42,53,147,568
04/14/2017 20:08:16,104,10.8,2432.390,336.71,2.42,54,140,567
04/14/2017 20:08:26,95,10.9,2429.710,336.58,2.43,53,144,568
04/14/2017 20:08:36,113,10.8,2427.010,336.11,2.43,53,146,568
04/14/2017 20:08:46,99,10.9,2424.160,336.75,2.44,55,145,568
04/14/2017 20:08:56,96,10.8,2421.370,336.94,2.45,52,140,568
04/14/2017 20:09:06,95,10.8,2418.560,336.26,2.46,53,149,567
04/14/2017 20:09:16,102,10.8,2415.950,336.14,2.46,52,139,567
04/14/2017 20:09:26,93,10.9,2413.040,336.32,2.47,53,137,567
04/14/2017 20:09:36,95,10.9,2410.290,335.90,2.49,53,140,567
04/14/2017 20:09:46,121,10.8,2407.640,334.98,2.50,53,144,567
04/14/2017 20:09:56,101,10.8,2404.960,334.96,2.50,53,139,567
04/14/2017 20:10:06,100,10.9,2402.250,334.29,2.51,54,136,567
04/14/2017 20:10:16,99,10.9,2399.480,334.90,2.52,52,133,567
04/14/2017 20:10:26,111,10.8,2396.620,334.25,2.52,54,137,567
04/14/2017 20:10:36,105,10.8,2393.960,334.99,2.52,53,134,567
04/14/2017 20:10:46,107,10.8,2391.270,334.70,2.52,53,136,567
04/14/2017 20:10:56,103,10.9,2388.520,334.51,2.52,53,147,567
04/14/2017 20:11:06,104,10.8,2385.650,334.55,2.53,53,134,567
04/14/2017 20:11:16,114,10.8,2382.900,334.80,2.54,53,152,567
04/14/2017 20:11:26,117,10.8,2380.180,333.69,2.55,54,137,567
04/14/2017 20:11:36,108,10.8,2377.560,334.28,2.55,54,139,567
04/14/2017 20:11:46,105,10.8,2374.760,335.55,2.55,53,133,567
04/14/2017 20:11:56,102,10.8,2371.960,334.54,2.56,55,136,567
04/14/2017 20:12:06,111,10.9,2369.240,334.24,2.57,53,135,567
04/14/2017 20:12:16,102,10.8,2366.600,334.49,2.57,54,135,567
04/14/2017 20:12:26,118,10.8,2363.760,334.98,2.57,52,136,567
04/14/2017 20:12:36,98,10.9,2361.120,335.39,2.57,53,140,567
04/14/2017 20:12:46,120,10.8,2358.300,335.43,2.58,53,136,567
04/14/2017 20:12:56,91,10.9,2355.550,334.76,2.58,53,134,567
04/14/2017 20:13:06,107,10.8,2352.950,334.67,2.60,53,133,567
04/14/2017 20:13:16,112,10.8,2350.200,333.83,2.60,53,142,567
04/14/2017 20:13:26,105,10.8,2347.480,334.71,2.61,53,135,567
04/14/2017 20:13:36,106,10.8,2344.640,333.91,2.63,53,143,567
04/14/2017 20:13:46,108,10.8,2342.010,333.92,2.63,53,149,567
04/14/2017 20:13:56,112,10.8,2339.320,333.80,2.64,53,125,567
04/14/2017 20:14:06,122,10.8,2336.430,332.24,2.68,54,122,567
04/14/2017 20:14:16,111,10.9,2333.770,330.42,2.70,52,122,567
04/14/2017 20:14:26,113,10.8,2330.970,329.77,2.71,53,117,567
04/14/2017 20:14:36,111,10.8,2328.350,328.82,2.73,53,117,567
04/14/2017 20:14:46,120,10.8,2325.680,327.46,2.73,52,116,567
04/14/2017 20:14:56,99,10.8,2322.840,326.16,2.74,52,115,567
04/14/2017 20:15:06,108,10.9,2320.160,326.41,2.76,54,116,567
04/14/2017 20:15:16,121,10.8,2317.430,324.94,2.77,53,121,567
04/14/2017 20:15:26,128,10.8,2314.690,324.66,2.78,52,116,567
04/14/2017 20:15:36,110,10.8,2311.900,324.01,2.78,54,130,567
04/14/2017 20:15:46,107,10.8,2309.120,323.68,2.79,54,113,567
04/14/2017 20:15:56,123,10.8,2306.640,324.04,2.79,54,114,567
04/14/2017 20:16:06,110,10.8,2303.800,322.95,2.79,52,116,566
