
 Profile 1

 Sensors were turned on at  10/17/2015 03:00:02
 Vehicle began profiling at 10/17/2015 03:02:01

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 03:08:50,141,11.3,383.600,0.00,132,54,74
10/17/2015 03:08:55,96,11.3,382.160,0.00,208,53,73
10/17/2015 03:09:00,168,11.3,380.710,0.00,127,54,72
10/17/2015 03:09:05,28,11.4,379.260,0.00,120,55,71
10/17/2015 03:09:10,144,11.3,377.810,0.00,122,54,73
10/17/2015 03:09:15,41,11.3,376.370,0.00,123,57,73
10/17/2015 03:09:20,214,11.2,374.930,0.00,117,53,73
10/17/2015 03:09:25,17,11.3,373.480,0.00,148,54,71
10/17/2015 03:09:30,144,11.2,372.040,0.00,121,52,73
10/17/2015 03:09:35,161,11.3,370.590,0.00,122,53,74
10/17/2015 03:09:40,77,11.3,369.160,0.00,173,54,73
10/17/2015 03:09:45,113,11.3,367.710,0.00,122,51,72
10/17/2015 03:09:50,125,11.3,366.280,0.00,139,53,72
10/17/2015 03:09:55,86,11.3,364.830,0.00,124,53,74
10/17/2015 03:10:00,183,11.2,363.390,0.00,142,56,74
10/17/2015 03:10:05,96,11.3,361.950,0.00,131,52,74
10/17/2015 03:10:10,54,11.3,360.500,0.00,119,55,76
10/17/2015 03:10:15,141,11.2,359.070,0.00,129,52,76
10/17/2015 03:10:20,17,11.3,357.640,0.00,141,55,73
10/17/2015 03:10:25,141,11.2,356.180,0.00,173,54,72
10/17/2015 03:10:30,71,11.3,354.770,0.00,120,53,71
10/17/2015 03:10:35,94,11.3,353.330,0.00,122,51,74
10/17/2015 03:10:40,138,11.2,351.910,0.00,130,54,73
10/17/2015 03:10:45,105,11.3,350.470,0.00,116,54,71
10/17/2015 03:10:50,173,11.2,349.050,0.00,136,54,74
10/17/2015 03:10:55,104,11.2,347.610,0.00,122,52,72
10/17/2015 03:11:00,187,11.2,346.190,0.00,115,53,71
10/17/2015 03:11:05,61,11.3,344.770,0.00,135,52,72
10/17/2015 03:11:10,198,11.2,343.330,0.00,130,53,74
10/17/2015 03:11:15,61,11.3,341.900,0.00,142,53,71
10/17/2015 03:11:20,169,11.2,340.470,0.00,123,52,73
10/17/2015 03:11:25,86,11.2,339.040,0.00,128,52,70
10/17/2015 03:11:30,95,11.2,337.610,0.00,110,55,72
10/17/2015 03:11:35,104,11.3,336.180,0.00,116,54,73
10/17/2015 03:11:40,272,11.2,334.750,0.00,110,52,72
10/17/2015 03:11:45,1,11.3,333.300,0.00,110,52,73
10/17/2015 03:11:50,202,11.2,331.860,0.00,105,55,74
10/17/2015 03:11:55,140,11.2,330.450,0.00,137,52,71
10/17/2015 03:12:00,13,11.3,329.020,0.00,110,55,70
10/17/2015 03:12:05,125,11.2,327.530,0.00,105,53,71
10/17/2015 03:12:10,8,11.3,326.080,0.00,111,53,72
10/17/2015 03:12:15,146,11.2,324.650,0.00,106,53,74
10/17/2015 03:12:20,193,11.2,323.200,0.00,104,52,72
10/17/2015 03:12:25,65,11.2,321.790,0.00,106,52,71
10/17/2015 03:12:30,155,11.2,320.360,0.00,110,52,71
10/17/2015 03:12:35,65,11.2,318.950,0.00,98,53,69
10/17/2015 03:12:40,66,11.2,317.510,0.00,99,55,72
10/17/2015 03:12:45,218,11.1,316.080,0.00,96,52,72
10/17/2015 03:12:50,28,11.3,314.650,0.00,100,51,72
10/17/2015 03:12:55,171,11.2,313.210,0.00,94,54,73
10/17/2015 03:13:00,165,11.2,311.800,0.00,95,52,71
10/17/2015 03:13:05,10,11.3,310.370,0.00,142,54,73
10/17/2015 03:13:10,214,11.2,308.930,0.00,94,52,72
10/17/2015 03:13:15,66,11.3,307.500,0.00,97,55,71
10/17/2015 03:13:20,90,11.2,306.040,0.00,93,51,70
10/17/2015 03:13:25,183,11.2,304.640,0.00,101,54,73
10/17/2015 03:13:30,1,11.3,303.180,0.00,112,53,72
10/17/2015 03:13:35,202,11.1,301.720,0.00,111,51,72
10/17/2015 03:13:40,2,11.3,300.280,0.00,115,54,73
10/17/2015 03:13:45,168,11.1,298.780,0.00,140,53,70
10/17/2015 03:13:50,33,11.3,297.340,0.00,115,51,70
10/17/2015 03:13:55,78,11.2,295.880,0.00,122,53,73
10/17/2015 03:14:00,165,11.2,294.470,0.00,116,54,71
10/17/2015 03:14:05,84,11.2,293.020,0.00,121,52,72
