

 Profile 2

MM-DD-YYYY HH:MM:SS,TmpC,Heading,Pitch,Roll,Beams,Beam1,Beam2,Beam3,Beam4,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3
10-17-2015 03:36:53,12.4100,262.7000,0.8000,0.7000,3,2,3,4,0,-0.18820,-0.17600,-0.31680,105,115,117
10-17-2015 03:36:54,12.4100,276.2000,-0.8000,0.4000,3,2,3,4,0,-0.15810,-0.19770,-0.25780,125,136,120
10-17-2015 03:36:54,12.4100,276.2000,-0.8000,0.4000,3,2,3,4,0,-0.06820,-0.14860,-0.20830,125,117,126
10-17-2015 03:36:55,12.4200,310.3000,0.5000,2.3000,3,2,3,4,0,-0.14510,-0.11620,-0.15730,102,109,114
10-17-2015 03:36:55,12.4200,310.3000,0.5000,2.3000,3,2,3,4,0,-0.15340,-0.14060,-0.20310,113,117,141
10-17-2015 03:36:56,12.4100,313.1000,1.8000,-0.7000,3,2,3,4,0,-0.12830,-0.08100,-0.22570,111,109,124
10-17-2015 03:36:56,12.4100,313.1000,1.8000,-0.7000,3,2,3,4,0,-0.20000,-0.04350,-0.16970,107,107,126
10-17-2015 03:36:57,12.4200,325.8000,0.7000,-0.6000,3,2,3,4,0,-0.19040,-0.03420,-0.19300,125,114,123
10-17-2015 03:36:57,12.4200,325.8000,0.7000,-0.6000,3,2,3,4,0,-0.15350,-0.07470,-0.12870,116,135,114
10-17-2015 03:36:58,12.4200,332.9000,0.2000,2.1000,3,2,3,4,0,-0.24580,-0.06340,-0.02050,112,117,115
10-17-2015 03:36:58,12.4200,332.9000,0.2000,2.1000,3,2,3,4,0,-0.19040,-0.05010,-0.10010,115,117,116
10-17-2015 03:36:59,12.4300,312.2000,1.4000,2.0000,3,2,3,4,0,-0.16700,-0.02600,-0.12270,120,128,110
10-17-2015 03:36:59,12.4300,312.2000,1.4000,2.0000,3,2,3,4,0,-0.21590,-0.03560,-0.14950,122,114,117
10-17-2015 03:37:00,12.4300,294.2000,0.9000,0.0000,3,2,3,4,0,-0.24780,-0.05570,-0.20020,118,114,116
10-17-2015 03:37:00,12.4300,294.2000,0.9000,0.0000,3,2,3,4,0,-0.26970,-0.11500,-0.22270,115,123,108
10-17-2015 03:37:01,12.4300,274.0000,0.8000,-3.0000,3,2,3,4,0,-0.26270,-0.16010,-0.29210,113,114,125
10-17-2015 03:37:01,12.4300,274.0000,0.8000,-3.0000,3,2,3,4,0,-0.25320,-0.22710,-0.31470,142,122,111
10-17-2015 03:37:02,12.4400,266.3000,0.6000,-1.6000,3,2,3,4,0,-0.22590,-0.21480,-0.29630,112,108,115
10-17-2015 03:37:02,12.4400,266.3000,0.6000,-1.6000,3,2,3,4,0,-0.20410,-0.16080,-0.30520,115,117,131
10-17-2015 03:37:03,12.4400,269.5000,-0.3000,-1.5000,3,2,3,4,0,-0.17250,-0.08660,-0.26180,124,109,125
10-17-2015 03:37:03,12.4400,269.5000,-0.3000,-1.5000,3,2,3,4,0,-0.13590,-0.13030,-0.21410,133,114,131
10-17-2015 03:37:04,12.4500,284.0000,0.8000,-0.5000,3,2,3,4,0,0.14290,-0.15070,-0.20810,126,122,120
10-17-2015 03:37:04,12.4500,284.0000,0.8000,-0.5000,3,2,3,4,0,-0.17790,-0.13020,-0.21620,114,112,114
10-17-2015 03:37:05,12.4400,295.0000,1.0000,0.2000,3,2,3,4,0,-0.17440,-0.18540,-0.19400,111,134,115
10-17-2015 03:37:05,12.4400,295.0000,1.0000,0.2000,3,2,3,4,0,-0.25120,-0.19830,-0.19930,124,132,115
10-17-2015 03:37:06,12.4300,297.2000,0.8000,-0.8000,3,2,3,4,0,-0.22280,-0.16200,-0.21540,125,117,113
10-17-2015 03:37:06,12.4300,297.2000,0.8000,-0.8000,3,2,3,4,0,-0.23030,-0.09640,-0.21800,125,108,133
10-17-2015 03:37:07,12.4200,307.1000,0.5000,0.8000,3,2,3,4,0,-0.22180,-0.13970,-0.19670,114,114,113
10-17-2015 03:37:07,12.4200,307.1000,0.5000,0.8000,3,2,3,4,0,-0.22800,-0.11430,-0.16810,106,110,118
10-17-2015 03:37:08,12.4200,302.0000,1.3000,-1.0000,3,2,3,4,0,-0.23960,-0.16990,-0.22830,108,109,143
10-17-2015 03:37:08,12.4200,302.0000,1.3000,-1.0000,3,2,3,4,0,-0.20720,-0.14800,-0.21420,111,112,135
10-17-2015 03:37:09,12.4100,305.1000,1.1000,1.2000,3,2,3,4,0,-0.23090,-0.09750,-0.21300,112,113,124
10-17-2015 03:37:09,12.4100,305.1000,1.1000,1.2000,3,2,3,4,0,-0.19940,-0.09350,-0.20840,117,115,119
10-17-2015 03:37:10,12.4000,300.8000,0.3000,0.6000,3,2,3,4,0,-0.20570,-0.14930,-0.20350,123,119,110
10-17-2015 03:37:10,12.4000,300.8000,0.3000,0.6000,3,2,3,4,0,-0.24410,-0.16950,-0.17890,120,125,126
10-17-2015 03:37:11,12.4000,287.3000,1.0000,-0.6000,3,2,3,4,0,-0.24480,-0.12120,-0.21520,105,113,120
10-17-2015 03:37:11,12.4000,287.3000,1.0000,-0.6000,3,2,3,4,0,-0.22440,-0.15660,-0.28470,108,127,134
10-17-2015 03:37:12,12.4000,281.4000,1.5000,-0.2000,3,2,3,4,0,-0.24720,-0.16310,-0.28700,117,143,115
10-17-2015 03:37:12,12.4000,281.4000,1.5000,-0.2000,3,2,3,4,0,-0.23110,-0.13600,-0.30110,116,115,109
10-17-2015 03:37:13,12.4000,277.8000,-0.2000,-0.1000,3,2,3,4,0,-0.19940,-0.10580,-0.24350,110,110,121
10-17-2015 03:37:13,12.4000,277.8000,-0.2000,-0.1000,3,2,3,4,0,-0.11110,-0.15540,-0.25190,110,131,108
10-17-2015 03:37:14,12.4000,278.5000,0.9000,-0.8000,3,2,3,4,0,-0.19870,-0.14560,-0.24280,123,129,102
10-17-2015 03:37:14,12.4000,278.5000,0.9000,-0.8000,3,2,3,4,0,-0.13370,-0.08880,-0.23220,115,117,116
10-17-2015 03:37:15,12.3900,290.1000,0.5000,0.8000,3,2,3,4,0,-0.10950,-0.07340,-0.15780,121,114,117
10-17-2015 03:37:15,12.3900,290.1000,0.5000,0.8000,3,2,3,4,0,-0.19460,-0.08390,-0.14620,105,117,112
10-17-2015 03:37:16,12.3800,287.5000,1.2000,-1.4000,3,2,3,4,0,-0.19420,-0.09390,-0.21380,108,115,125
10-17-2015 03:37:16,12.3800,287.5000,1.2000,-1.4000,3,2,3,4,0,-0.26430,-0.09770,-0.23390,112,112,120
10-17-2015 03:37:17,12.3800,287.3000,1.0000,-0.2000,3,2,3,4,0,-0.26370,-0.12140,-0.25860,116,117,113
10-17-2015 03:37:17,12.3800,287.3000,1.0000,-0.2000,3,2,3,4,0,-0.22810,-0.11640,-0.24720,115,111,116
10-17-2015 03:37:18,12.3800,287.1000,0.3000,2.7000,3,2,3,4,0,-0.23660,-0.17990,-0.22580,111,121,106
10-17-2015 03:37:18,12.3800,287.1000,0.3000,2.7000,3,2,3,4,0,-0.22310,-0.18600,-0.24640,115,110,109
10-17-2015 03:37:19,12.3700,274.8000,0.5000,-0.3000,3,2,3,4,0,-0.16520,-0.11450,-0.23610,115,115,117
10-17-2015 03:37:19,12.3700,274.8000,0.5000,-0.3000,3,2,3,4,0,-0.16950,-0.09420,-0.23360,109,111,113
10-17-2015 03:37:20,12.3700,274.7000,0.9000,-0.9000,3,2,3,4,0,-0.16170,-0.11630,-0.23120,109,115,106
10-17-2015 03:37:20,12.3700,274.7000,0.9000,-0.9000,3,2,3,4,0,-0.12920,-0.12330,-0.22370,116,134,113
10-17-2015 03:37:21,12.3700,277.8000,0.8000,-0.1000,3,2,3,4,0,-0.13920,-0.13050,-0.21930,123,122,127
10-17-2015 03:37:21,12.3700,277.8000,0.8000,-0.1000,3,2,3,4,0,-0.16030,-0.10750,-0.23340,114,115,106
10-17-2015 03:37:22,12.3600,280.3000,1.0000,-0.5000,3,2,3,4,0,-0.15770,-0.08940,-0.21400,115,113,107
10-17-2015 03:37:22,12.3600,280.3000,1.0000,-0.5000,3,2,3,4,0,-0.13630,-0.07680,-0.21070,110,114,114
10-17-2015 03:37:23,12.3600,288.7000,1.0000,-0.2000,3,2,3,4,0,-0.15330,-0.08580,-0.21740,122,115,107
10-17-2015 03:37:23,12.3600,288.7000,1.0000,-0.2000,3,2,3,4,0,-0.15190,-0.03710,-0.20520,108,105,107
10-17-2015 03:37:24,12.3500,297.9000,0.8000,1.6000,3,2,3,4,0,-0.16240,-0.08030,-0.18630,109,109,120
10-17-2015 03:37:24,12.3500,297.9000,0.8000,1.6000,3,2,3,4,0,-0.22600,-0.09910,-0.23220,103,110,121
10-17-2015 03:37:25,12.3400,289.3000,1.3000,-0.2000,3,2,3,4,0,-0.22550,-0.12320,-0.27450,111,128,108
10-17-2015 03:37:25,12.3400,289.3000,1.3000,-0.2000,3,2,3,4,0,-0.24280,-0.11100,-0.24690,117,115,116
10-17-2015 03:37:26,12.3400,280.0000,0.5000,-0.9000,3,2,3,4,0,-0.21870,-0.11070,-0.23440,109,114,116
10-17-2015 03:37:26,12.3400,280.0000,0.5000,-0.9000,3,2,3,4,0,-0.14560,-0.10100,-0.18850,128,117,116
10-17-2015 03:37:27,12.3400,269.7000,0.4000,-0.2000,3,2,3,4,0,-0.14170,-0.10180,-0.19540,120,113,118
10-17-2015 03:37:27,12.3400,269.7000,0.4000,-0.2000,3,2,3,4,0,-0.13870,-0.12230,-0.22590,125,118,111
10-17-2015 03:37:28,12.3400,260.4000,1.2000,-0.8000,3,2,3,4,0,-0.17160,-0.04160,-0.22900,119,123,122
