

 Profile 1

MM-DD-YYYY HH:MM:SS,TmpC,Heading,Pitch,Roll,Beams,Beam1,Beam2,Beam3,Beam4,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3

10-17-2015 03:00:16,5.5800,357.2000,0.0000,0.2000,3,1,2,4,0,-0.04630,-0.05460,-0.09530,119,113,107
10-17-2015 03:00:16,5.5800,357.2000,0.0000,0.2000,3,1,2,4,0,-0.04760,-0.04680,-0.09270,145,118,113
10-17-2015 03:00:17,5.5700,0.0000,0.0000,0.7000,3,1,2,4,0,-0.04920,-0.04530,-0.09000,116,117,115
10-17-2015 03:00:17,5.5700,0.0000,0.0000,0.7000,3,1,2,4,0,-0.05670,-0.05920,-0.07950,106,112,116
10-17-2015 03:00:18,5.5700,0.5000,-0.1000,0.7000,3,1,2,4,0,-0.04960,-0.05990,-0.08480,119,112,118
10-17-2015 03:00:18,5.5700,0.5000,-0.1000,0.7000,3,1,2,4,0,-0.04530,-0.06610,-0.08590,110,115,119
10-17-2015 03:00:19,5.5700,0.5000,0.0000,0.2000,3,1,2,4,0,-0.04580,-0.06390,-0.08300,120,110,124
10-17-2015 03:00:19,5.5700,0.5000,0.0000,0.2000,3,1,2,4,0,-0.04730,-0.05910,-0.08170,119,123,121
10-17-2015 03:00:20,5.5600,1.0000,0.0000,-0.1000,3,1,2,4,0,-0.04890,-0.06640,-0.08040,116,116,115
10-17-2015 03:00:20,5.5600,1.0000,0.0000,-0.1000,3,1,2,4,0,-0.05170,-0.06070,-0.08870,105,112,114
10-17-2015 03:00:21,5.5600,2.7000,-0.2000,0.0000,3,1,2,4,0,-0.04820,-0.06060,-0.08840,112,118,122
10-17-2015 03:00:21,5.5600,2.7000,-0.2000,0.0000,3,1,2,4,0,-0.04790,-0.06520,-0.08530,110,109,123
10-17-2015 03:00:22,5.5700,4.4000,0.2000,0.1000,3,1,2,4,0,-0.02660,-0.06820,-0.08340,109,114,119
10-17-2015 03:00:22,5.5700,4.4000,0.2000,0.1000,3,1,2,4,0,-0.04580,-0.06130,-0.08870,116,114,123
10-17-2015 03:00:23,5.5700,6.7000,0.0000,0.3000,3,1,2,4,0,-0.05150,-0.06510,-0.09120,104,114,127
10-17-2015 03:00:23,5.5700,6.7000,0.0000,0.3000,3,1,2,4,0,-0.05330,-0.06750,-0.09120,111,111,121
10-17-2015 03:00:24,5.5600,9.2000,0.0000,0.1000,3,1,2,4,0,-0.05350,-0.06060,-0.08690,110,113,116
10-17-2015 03:00:24,5.5600,9.2000,0.0000,0.1000,3,1,2,4,0,-0.04190,-0.07000,-0.09030,112,116,115
10-17-2015 03:00:25,5.5700,12.8000,-0.1000,0.5000,3,1,2,4,0,-0.05310,-0.07320,-0.09530,112,108,112
10-17-2015 03:00:25,5.5700,12.8000,-0.1000,0.5000,3,1,2,4,0,-0.05040,-0.07620,-0.09060,118,110,116
10-17-2015 03:00:26,5.5700,13.7000,0.0000,0.2000,3,1,2,4,0,-0.05180,-0.07230,-0.08860,114,114,118
10-17-2015 03:00:26,5.5700,13.7000,0.0000,0.2000,3,1,2,4,0,-0.04590,-0.06940,-0.16010,108,115,126
10-17-2015 03:00:27,5.5600,16.2000,-0.1000,0.3000,3,1,2,4,0,-0.06100,-0.07650,-0.21070,110,114,137
10-17-2015 03:00:27,5.5600,16.2000,-0.1000,0.3000,3,1,2,4,0,-0.07620,-0.08330,-0.18600,116,123,157
10-17-2015 03:00:28,5.5700,15.4000,0.0000,-0.2000,3,1,2,4,0,-0.05840,-0.07250,-0.14030,111,116,129
10-17-2015 03:00:28,5.5700,15.4000,0.0000,-0.2000,3,1,2,4,0,-0.05260,-0.07380,-0.08600,112,119,115
10-17-2015 03:00:29,5.5700,15.3000,0.1000,-0.2000,3,1,2,4,0,-0.04940,-0.07740,-0.08550,114,122,110
10-17-2015 03:00:29,5.5700,15.3000,0.1000,-0.2000,3,1,2,4,0,-0.05520,-0.08380,-0.08910,112,116,102
10-17-2015 03:00:30,5.5700,16.9000,0.0000,0.0000,3,1,2,4,0,-0.05260,-0.09000,-0.07640,113,107,108
10-17-2015 03:00:30,5.5700,16.9000,0.0000,0.0000,3,1,2,4,0,-0.05040,-0.08460,-0.08100,111,120,115
10-17-2015 03:00:31,5.5600,20.0000,-0.1000,0.7000,3,1,2,4,0,-0.05650,-0.08800,-0.08460,108,121,115
10-17-2015 03:00:31,5.5600,20.0000,-0.1000,0.7000,3,1,2,4,0,-0.05880,-0.08970,-0.08660,119,108,115
10-17-2015 03:00:32,5.5600,19.5000,-0.1000,0.5000,3,1,2,4,0,-0.05550,-0.08310,-0.08340,122,107,118
10-17-2015 03:00:32,5.5600,19.5000,-0.1000,0.5000,3,1,2,4,0,-0.04920,-0.08570,-0.08570,116,107,121
10-17-2015 03:00:33,5.5700,18.6000,-0.1000,0.6000,3,1,2,4,0,-0.04960,-0.09000,-0.09620,110,104,115
10-17-2015 03:00:33,5.5700,18.6000,-0.1000,0.6000,3,1,2,4,0,-0.05270,-0.08830,-0.09180,118,119,116
10-17-2015 03:00:34,5.5600,16.6000,0.0000,0.2000,3,1,2,4,0,-0.05740,-0.07810,-0.08760,111,118,120
10-17-2015 03:00:34,5.5600,16.6000,0.0000,0.2000,3,1,2,4,0,-0.05490,-0.07950,-0.09420,126,122,108
10-17-2015 03:00:35,5.5700,15.6000,-0.1000,0.1000,3,1,2,4,0,-0.05260,-0.07850,-0.08530,114,111,117
10-17-2015 03:00:35,5.5700,15.6000,-0.1000,0.1000,3,1,2,4,0,-0.05940,-0.08170,-0.08370,111,114,122
10-17-2015 03:00:36,5.5600,13.6000,-0.2000,0.3000,3,1,2,4,0,-0.05010,-0.07560,-0.08000,106,127,109
10-17-2015 03:00:36,5.5600,13.6000,-0.2000,0.3000,3,1,2,4,0,-0.04200,-0.07590,-0.09330,114,113,108
10-17-2015 03:00:37,5.5700,11.7000,0.0000,0.2000,3,1,2,4,0,-0.04530,-0.07510,-0.08090,110,111,118
10-17-2015 03:00:37,5.5700,11.7000,0.0000,0.2000,3,1,2,4,0,-0.05140,-0.06490,-0.09810,116,122,110
10-17-2015 03:00:38,5.5600,10.9000,-0.2000,0.4000,3,1,2,4,0,-0.04900,-0.06270,-0.07990,122,108,123
10-17-2015 03:00:38,5.5600,10.9000,-0.2000,0.4000,3,1,2,4,0,-0.05130,-0.06480,-0.08280,113,107,119
10-17-2015 03:00:39,5.5700,9.3000,-0.1000,0.5000,3,1,2,4,0,-0.04630,-0.06400,-0.07910,119,108,129
10-17-2015 03:00:39,5.5700,9.3000,-0.1000,0.5000,3,1,2,4,0,-0.04640,-0.06190,-0.08570,104,108,116
