

 Profile 2

MM-DD-YYYY HH:MM:SS,Sndm/s,TmpC,Heading,Pitch,Roll,magnHx,magnHy,magnHz,Beams,Cells,Beam1,Beam2,Beam3,Beam4,Beam5,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3
10-17-2015 03:36:47.375,1500.0000,12.4300,307.5000,0.0000,0.9000,16429,-357,150,3,1,2,3,4,0,0,-0.20300,-0.16530,-0.15360,116,105,119,083,078,097
10-17-2015 03:36:47.875,1500.0000,12.4300,307.5000,0.0000,0.9000,16429,-357,150,3,1,2,3,4,0,0,-0.15120,-0.14120,-0.18560,114,119,110,085,095,092
10-17-2015 03:36:48.375,1500.0000,12.4300,319.8000,1.1000,2.0000,16601,-666,493,3,1,2,3,4,0,0,-0.17640,-0.10800,-0.15260,114,125,115,090,090,099
10-17-2015 03:36:48.875,1500.0000,12.4300,319.8000,1.1000,2.0000,16601,-666,493,3,1,2,3,4,0,0,-0.22830,-0.08940,-0.14770,119,118,113,098,097,077
10-17-2015 03:36:49.375,1500.0000,12.4300,310.3000,1.2000,1.2000,16639,-442,523,3,1,2,3,4,0,0,-0.24340,-0.03130,-0.14840,125,108,115,096,091,097
10-17-2015 03:36:49.875,1500.0000,12.4300,310.3000,1.2000,1.2000,16639,-442,523,3,1,2,3,4,0,0,-0.27460,-0.10630,-0.16840,127,125,113,093,098,062
10-17-2015 03:36:50.375,1500.0000,12.4200,288.4000,0.8000,-1.6000,16579,414,404,3,1,2,3,4,0,0,-0.27630,-0.07340,-0.23760,113,109,121,094,086,098
10-17-2015 03:36:50.875,1500.0000,12.4200,288.4000,0.8000,-1.6000,16579,414,404,3,1,2,3,4,0,0,-0.28480,-0.17440,-0.23850,127,119,116,087,099,088
10-17-2015 03:36:51.375,1500.0000,12.4100,271.5000,0.0000,-0.5000,16405,93,175,3,1,2,3,4,0,0,-0.24440,-0.20410,-0.26450,110,115,124,077,088,098
10-17-2015 03:36:51.875,1500.0000,12.4100,271.5000,0.0000,-0.5000,16405,93,175,3,1,2,3,4,0,0,-0.20900,-0.15080,-0.25480,126,109,105,099,083,096
10-17-2015 03:36:52.375,1500.0000,12.4100,263.6000,0.4000,0.2000,16625,-155,283,3,1,2,3,4,0,0,-0.21170,-0.21360,-0.25800,117,121,102,081,091,091
10-17-2015 03:36:52.875,1500.0000,12.4100,263.6000,0.4000,0.2000,16625,-155,283,3,1,2,3,4,0,0,-0.21540,-0.25540,-0.30480,105,108,107,083,074,089
10-17-2015 03:36:53.375,1500.0000,12.4100,262.7000,0.8000,0.7000,16649,-288,408,3,1,2,3,4,0,0,-0.19570,-0.16140,-0.29190,110,113,112,076,082,090
10-17-2015 03:36:53.875,1500.0000,12.4100,262.7000,0.8000,0.7000,16649,-288,408,3,1,2,3,4,0,0,-0.18820,-0.17600,-0.31680,105,115,117,091,085,095
10-17-2015 03:36:54.375,1500.0000,12.4100,276.2000,-0.8000,0.4000,16505,-203,-73,3,1,2,3,4,0,0,-0.15810,-0.19770,-0.25780,125,136,120,100,099,092
