

 Profile 324

mmho/cm,Celsius,dbars,hz

32.2079,3.6117,178.850, 0
32.2079,3.6118,178.870, 0
32.2078,3.6117,178.900, 0
32.2077,3.6116,178.880, 0
32.2079,3.6116,178.840, 0
32.2079,3.6117,178.850, 0
32.2081,3.6119,178.850, 0
32.2080,3.6117,178.870, 0
32.2085,3.6119,178.950, 0
32.2081,3.6119,178.870, 0
32.2081,3.6119,178.970, 0
32.2079,3.6119,178.850, 0
32.2080,3.6118,178.940, 0
32.2079,3.6116,178.880, 0
32.2087,3.6123,178.830, 0
32.2085,3.6123,178.960, 0
32.2083,3.6123,178.870, 0
32.2086,3.6128,178.880, 0
32.2086,3.6125,178.880, 0
32.2086,3.6126,178.810, 0
32.2088,3.6128,178.930, 0
32.2086,3.6125,178.850, 0
32.2084,3.6119,178.850, 0
32.2088,3.6125,178.970, 0
32.2081,3.6123,178.830, 0
32.2084,3.6125,178.880, 0
32.2084,3.6125,178.930, 0
32.2086,3.6123,178.810, 0
32.2084,3.6125,178.870, 0
32.2087,3.6124,178.960, 0
32.2084,3.6127,178.820, 0
32.2085,3.6124,178.960, 0
32.2084,3.6122,178.930, 0
32.2081,3.6119,178.830, 0
32.2079,3.6117,178.890, 0
32.2079,3.6117,178.910, 0
32.2079,3.6117,178.840, 0
32.2078,3.6118,178.800, 0
32.2079,3.6116,178.950, 0
32.2081,3.6119,178.900, 0
32.2081,3.6118,178.780, 0
32.2083,3.6121,178.950, 0
32.2084,3.6122,178.950, 0
32.2086,3.6125,178.840, 0
32.2084,3.6127,178.830, 0
32.2087,3.6124,178.870, 0
32.2087,3.6124,178.860, 0
32.2086,3.6124,178.810, 0
32.2085,3.6122,178.830, 0
32.2085,3.6123,178.890, 0
32.2085,3.6124,178.830, 0
32.2081,3.6122,178.860, 0
32.2086,3.6123,178.890, 0
32.2079,3.6116,178.940, 0
32.2077,3.6116,178.790, 0
32.2079,3.6114,178.830, 0
32.2077,3.6114,178.970, 0
32.2080,3.6112,178.900, 0
32.2079,3.6117,178.830, 0
32.2077,3.6113,178.900, 0
32.2077,3.6115,178.890, 0
32.2077,3.6114,178.820, 0
32.2080,3.6117,178.770, 0
32.2079,3.6116,178.890, 0
32.2081,3.6119,178.910, 0
32.2083,3.6122,178.850, 0
32.2083,3.6121,178.790, 0
32.2088,3.6127,178.900, 0
32.2088,3.6128,178.940, 0
32.2085,3.6122,178.790, 0
32.2094,3.6133,178.900, 0
32.2090,3.6130,178.980, 0
32.2092,3.6134,178.850, 0
32.2092,3.6133,178.800, 0
32.2096,3.6135,178.910, 0
32.2098,3.6137,178.830, 0
32.2096,3.6133,178.760, 0
32.2106,3.6145,178.820, 0
32.2108,3.6153,178.890, 0
32.2098,3.6139,178.800, 0
32.2104,3.6144,178.820, 0
32.2114,3.6154,178.890, 0
32.2114,3.6154,178.940, 0
32.2114,3.6156,178.890, 0
32.2112,3.6155,178.830, 0
32.2116,3.6155,178.950, 0
32.2108,3.6149,178.870, 0
32.2110,3.6150,178.840, 0
32.2114,3.6157,178.780, 0
32.2106,3.6147,178.860, 0
32.2102,3.6144,178.860, 0
32.2108,3.6147,178.820, 0
32.2104,3.6146,178.810, 0
32.2108,3.6145,178.920, 0
32.2108,3.6148,178.940, 0
32.2112,3.6151,178.820, 0
32.2114,3.6153,178.830, 0
32.2112,3.6153,178.900, 0
32.2110,3.6152,178.880, 0
32.2110,3.6153,178.760, 0
32.2110,3.6151,178.770, 0
32.2092,3.6134,178.860, 0
32.2106,3.6143,178.900, 0
32.2104,3.6147,178.800, 0
32.2106,3.6145,178.830, 0
32.2110,3.6148,178.910, 0
32.2110,3.6146,178.830, 0
32.2106,3.6149,178.770, 0
32.2108,3.6147,178.910, 0
32.2106,3.6146,178.880, 0
32.2102,3.6141,178.750, 0
32.2100,3.6140,178.800, 0
32.2104,3.6145,178.920, 0
32.2108,3.6147,178.830, 0
32.2110,3.6148,178.780, 0
32.2108,3.6146,178.940, 0
32.2104,3.6141,178.910, 0
32.2108,3.6146,178.790, 0
32.2106,3.6148,178.880, 0
32.2100,3.6142,178.900, 0
32.2098,3.6138,178.830, 0
32.2098,3.6137,178.940, 0
32.2096,3.6135,179.120, 0
32.2098,3.6136,179.150, 0
32.2100,3.6136,179.210, 0
32.2102,3.6139,179.380, 0
32.2098,3.6137,179.600, 0
32.2102,3.6139,179.710, 0
32.2104,3.6139,179.820, 0
32.2102,3.6137,180.080, 0
32.2102,3.6134,180.250, 0
32.2104,3.6135,180.360, 0
32.2108,3.6139,180.580, 0
32.2106,3.6138,180.870, 0
32.2108,3.6138,181.130, 0
32.2108,3.6136,181.290, 0
32.2106,3.6135,181.460, 0
32.2110,3.6135,181.710, 0
32.2110,3.6133,182.050, 0
32.2114,3.6135,182.160, 0
32.2116,3.6138,182.420, 0
32.2118,3.6141,182.760, 0
32.2122,3.6143,183.080, 0
32.2124,3.6141,183.220, 0
32.2122,3.6136,183.500, 0
32.2118,3.6135,183.760, 0
32.2121,3.6136,184.140, 0
32.2128,3.6142,184.280, 0
32.2132,3.6145,184.560, 0
32.2130,3.6141,184.890, 0
32.2130,3.6141,185.080, 0
32.2129,3.6139,185.330, 0
32.2130,3.6137,185.760, 0
32.2130,3.6133,185.990, 0
32.2130,3.6134,186.170, 0
32.2132,3.6138,186.600, 0
32.2133,3.6136,186.880, 0
32.2136,3.6137,187.040, 0
32.2136,3.6133,187.340, 0
32.2132,3.6131,187.610, 0
32.2140,3.6137,187.760, 0
32.2141,3.6138,188.060, 0
32.2142,3.6141,188.420, 0
32.2136,3.6126,188.590, 0
32.2144,3.6137,188.920, 0
32.2149,3.6141,189.250, 0
32.2147,3.6138,189.390, 0
32.2147,3.6138,189.760, 0
32.2148,3.6135,190.070, 0
32.2150,3.6135,190.250, 0
32.2155,3.6134,190.550, 0
32.2154,3.6136,190.850, 0
32.2156,3.6137,191.030, 0
32.2158,3.6139,191.270, 0
32.2162,3.6142,191.670, 0
32.2166,3.6143,191.850, 0
32.2162,3.6142,192.090, 0
32.2158,3.6133,192.450, 0
32.2160,3.6133,192.740, 0
32.2150,3.6121,192.940, 0
32.2147,3.6117,193.220, 0
32.2164,3.6136,193.580, 0
32.2164,3.6135,193.790, 0
32.2168,3.6136,194.000, 0
32.2168,3.6135,194.320, 0
32.2180,3.6146,194.580, 0
32.2186,3.6153,194.710, 0
32.2188,3.6152,195.100, 0
32.2192,3.6157,195.430, 0
32.2198,3.6160,195.600, 0
32.2202,3.6162,195.840, 0
