
 Profile 334

 Sensors were turned on at  04/15/2017 16:00:02
 Vehicle began profiling at 04/15/2017 16:02:04

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/15/2017 16:02:04,0,11.0,0.000,0.00,0.00,111,144,567
04/15/2017 16:02:14,214,10.7,0.000,0.00,0.00,103,131,567
04/15/2017 16:02:24,189,10.8,0.000,0.00,0.00,100,131,567
04/15/2017 16:02:37,334,10.7,184.960,386.68,3.60,97,128,567
04/15/2017 16:02:47,160,10.9,187.520,385.31,3.59,98,132,567
04/15/2017 16:02:57,162,10.9,190.220,384.75,3.60,97,132,567
04/15/2017 16:03:07,175,10.9,192.860,385.87,3.59,96,130,567
04/15/2017 16:03:17,161,10.9,195.640,384.97,3.59,94,141,567
04/15/2017 16:03:27,154,10.9,198.260,385.37,3.58,94,132,567
04/15/2017 16:03:37,165,10.9,201.020,384.77,3.57,93,130,566
04/15/2017 16:03:47,160,10.9,203.640,385.51,3.57,92,131,566
04/15/2017 16:03:57,154,10.9,206.300,385.55,3.57,91,130,566
04/15/2017 16:04:07,161,10.9,208.890,384.36,3.56,90,130,566
04/15/2017 16:04:17,165,10.9,211.550,384.98,3.56,90,128,566
04/15/2017 16:04:27,150,10.9,214.230,383.42,3.55,90,132,566
04/15/2017 16:04:37,168,10.9,216.940,384.31,3.55,89,129,566
04/15/2017 16:04:47,155,10.9,219.650,383.98,3.54,88,130,566
04/15/2017 16:04:57,157,10.9,222.270,384.24,3.54,85,127,566
04/15/2017 16:05:07,164,10.9,224.920,384.13,3.53,87,130,566
04/15/2017 16:05:17,159,10.9,227.660,384.50,3.53,85,128,566
04/15/2017 16:05:27,157,10.9,230.160,384.21,3.53,84,130,566
04/15/2017 16:05:37,173,10.8,232.800,384.10,3.52,84,130,566
04/15/2017 16:05:47,165,10.8,235.440,382.90,3.52,85,129,566
04/15/2017 16:05:57,152,10.8,238.140,385.17,3.52,84,128,566
04/15/2017 16:06:07,161,10.9,240.860,383.29,3.52,84,130,566
04/15/2017 16:06:17,157,10.9,243.380,383.71,3.52,83,128,566
04/15/2017 16:06:27,168,10.8,246.150,383.55,3.52,84,129,566
04/15/2017 16:06:37,157,10.8,248.770,383.61,3.52,83,128,566
04/15/2017 16:06:47,167,10.8,251.300,383.34,3.51,84,129,566
04/15/2017 16:06:57,172,10.8,253.880,383.19,3.51,83,127,566
04/15/2017 16:07:07,176,10.8,256.750,383.43,3.51,82,128,566
04/15/2017 16:07:17,160,10.8,259.300,383.34,3.51,81,126,566
04/15/2017 16:07:27,173,10.8,261.870,383.08,3.51,80,128,566
04/15/2017 16:07:37,169,10.8,264.520,383.12,3.51,81,129,565
04/15/2017 16:07:47,172,10.8,267.230,382.88,3.51,80,129,565
04/15/2017 16:07:57,164,10.8,269.890,383.59,3.50,80,128,565
04/15/2017 16:08:07,155,10.8,272.410,383.06,3.50,78,127,566
04/15/2017 16:08:17,161,10.8,275.080,383.00,3.50,79,129,565
04/15/2017 16:08:27,181,10.8,277.710,383.26,3.50,77,128,565
04/15/2017 16:08:37,154,10.8,280.490,382.91,3.50,78,126,565
04/15/2017 16:08:47,157,10.8,283.130,382.31,3.50,77,127,565
04/15/2017 16:08:57,177,10.8,285.760,382.57,3.50,77,130,565
04/15/2017 16:09:07,170,10.8,288.360,382.61,3.50,75,127,565
04/15/2017 16:09:17,159,10.8,290.910,382.54,3.50,77,129,565
04/15/2017 16:09:27,170,10.8,293.520,381.34,3.50,75,128,565
04/15/2017 16:09:37,176,10.8,296.320,383.26,3.49,76,128,565
04/15/2017 16:09:47,164,10.8,298.910,381.61,3.50,76,127,565
04/15/2017 16:09:57,192,10.8,301.430,381.95,3.49,77,129,565
04/15/2017 16:10:07,167,10.8,304.100,381.88,3.49,78,135,565
04/15/2017 16:10:17,186,10.8,306.750,382.17,3.49,77,127,565
04/15/2017 16:10:27,150,10.8,309.430,382.56,3.49,77,127,565
04/15/2017 16:10:37,172,10.8,312.030,383.02,3.49,78,127,565
04/15/2017 16:10:47,166,10.8,314.650,381.71,3.49,77,130,565
04/15/2017 16:10:57,169,10.8,317.360,381.23,3.49,79,127,565
04/15/2017 16:11:07,154,10.8,319.970,382.22,3.49,76,126,565
04/15/2017 16:11:17,186,10.8,322.550,381.19,3.49,77,128,565
04/15/2017 16:11:27,167,10.8,325.250,382.13,3.49,77,127,565
04/15/2017 16:11:37,165,10.8,327.730,380.75,3.49,75,127,565
04/15/2017 16:11:47,165,10.8,330.500,381.80,3.49,77,128,565
04/15/2017 16:11:57,172,10.8,333.030,382.00,3.49,75,128,565
04/15/2017 16:12:07,179,10.8,335.720,382.58,3.49,74,125,565
04/15/2017 16:12:17,176,10.8,338.330,381.73,3.49,73,127,565
04/15/2017 16:12:27,182,10.8,340.920,381.22,3.49,74,126,565
04/15/2017 16:12:37,165,10.8,343.560,382.00,3.49,74,126,565
04/15/2017 16:12:47,162,10.8,346.170,380.91,3.49,73,126,565
04/15/2017 16:12:57,179,10.8,348.820,381.34,3.49,75,126,565
04/15/2017 16:13:07,168,10.8,351.450,381.11,3.49,73,125,565
04/15/2017 16:13:17,166,10.8,354.110,381.51,3.49,73,127,565
04/15/2017 16:13:27,170,10.8,356.700,381.25,3.49,74,130,565
04/15/2017 16:13:37,163,10.8,359.420,381.43,3.49,75,126,565
04/15/2017 16:13:47,172,10.8,362.020,381.09,3.49,74,129,565
04/15/2017 16:13:57,179,10.8,364.630,381.37,3.49,73,126,565
04/15/2017 16:14:07,186,10.8,367.260,381.72,3.49,73,127,565
04/15/2017 16:14:17,158,10.8,369.870,380.98,3.49,72,125,565
04/15/2017 16:14:27,184,10.8,372.650,381.05,3.49,73,125,565
04/15/2017 16:14:37,158,10.8,375.180,380.85,3.48,74,127,565
04/15/2017 16:14:47,197,10.8,377.710,381.19,3.49,73,124,565
04/15/2017 16:14:57,169,10.8,380.410,381.05,3.49,74,125,565
04/15/2017 16:15:07,149,10.8,383.030,381.30,3.48,73,125,565
04/15/2017 16:15:17,201,10.8,385.700,380.81,3.49,74,127,565
04/15/2017 16:15:27,167,10.9,388.310,380.96,3.49,73,125,565
04/15/2017 16:15:37,166,10.8,390.880,380.67,3.48,72,125,565
04/15/2017 16:15:47,190,10.8,393.500,380.85,3.48,72,124,565
04/15/2017 16:15:57,169,10.8,396.270,381.27,3.48,72,126,565
04/15/2017 16:16:07,169,10.8,398.770,380.76,3.48,73,125,565
04/15/2017 16:16:17,159,10.8,401.400,379.91,3.48,71,127,565
04/15/2017 16:16:27,166,10.8,404.010,381.26,3.48,73,128,565
04/15/2017 16:16:37,180,10.8,406.700,381.12,3.48,70,126,565
04/15/2017 16:16:47,174,10.8,409.310,380.92,3.48,72,125,565
04/15/2017 16:16:57,172,10.8,411.920,380.86,3.48,72,125,565
04/15/2017 16:17:07,160,10.8,414.650,379.93,3.48,72,126,565
04/15/2017 16:17:17,192,10.8,417.260,379.79,3.48,72,126,565
04/15/2017 16:17:27,168,10.8,419.840,380.23,3.48,69,125,565
04/15/2017 16:17:37,173,10.8,422.490,380.37,3.48,73,127,565
