
 Profile 323

 Sensors were turned on at  04/06/2017 12:00:02
 Vehicle began profiling at 04/06/2017 12:02:04

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/06/2017 12:02:04,0,11.0,0.000,0.00,0.00,53,116,569
04/06/2017 12:02:14,186,10.8,0.000,0.00,0.00,54,117,569
04/06/2017 12:02:24,123,10.8,0.000,0.00,0.00,53,117,569
04/06/2017 12:02:37,174,10.8,2513.060,330.03,2.43,52,117,569
04/06/2017 12:02:47,88,11.0,2510.380,329.15,2.44,53,116,569
04/06/2017 12:02:57,96,11.0,2507.560,329.74,2.45,52,120,569
04/06/2017 12:03:07,79,11.0,2504.750,329.71,2.46,53,123,569
04/06/2017 12:03:17,89,11.0,2502.000,330.19,2.46,53,120,569
04/06/2017 12:03:27,82,11.0,2499.090,329.27,2.46,54,121,569
04/06/2017 12:03:37,85,11.0,2496.390,330.61,2.46,53,122,568
04/06/2017 12:03:47,84,10.9,2493.510,330.35,2.46,52,124,568
04/06/2017 12:03:57,87,10.9,2490.790,331.55,2.47,55,121,568
04/06/2017 12:04:07,79,10.9,2487.990,331.63,2.47,52,123,568
04/06/2017 12:04:17,87,10.9,2485.210,331.62,2.48,53,124,568
04/06/2017 12:04:27,85,11.0,2482.470,331.47,2.48,54,123,568
04/06/2017 12:04:37,87,10.9,2479.710,332.18,2.49,54,124,568
04/06/2017 12:04:47,90,10.9,2476.860,331.93,2.50,54,124,568
04/06/2017 12:04:57,88,10.9,2474.120,332.12,2.51,54,121,568
04/06/2017 12:05:07,84,10.9,2471.380,330.93,2.53,54,123,568
04/06/2017 12:05:17,81,10.9,2468.570,330.81,2.52,53,121,568
04/06/2017 12:05:27,79,10.9,2465.760,330.51,2.53,53,126,568
04/06/2017 12:05:37,81,10.9,2463.000,331.54,2.53,52,126,568
04/06/2017 12:05:47,81,10.9,2460.130,331.57,2.54,54,125,568
04/06/2017 12:05:57,82,10.9,2457.530,332.46,2.54,53,124,568
04/06/2017 12:06:07,88,10.9,2454.600,332.08,2.55,55,132,568
04/06/2017 12:06:17,89,10.9,2451.840,332.30,2.56,53,124,568
04/06/2017 12:06:27,90,10.9,2448.980,332.51,2.56,52,125,568
04/06/2017 12:06:37,91,10.9,2446.430,331.83,2.57,54,125,567
04/06/2017 12:06:47,101,10.9,2443.650,331.34,2.58,54,126,567
04/06/2017 12:06:57,90,10.9,2440.830,332.09,2.58,53,125,568
04/06/2017 12:07:07,90,10.9,2437.990,331.51,2.59,54,128,567
04/06/2017 12:07:17,86,10.9,2435.310,331.27,2.60,52,125,567
04/06/2017 12:07:27,80,10.9,2432.510,331.13,2.61,52,125,567
04/06/2017 12:07:37,100,10.9,2429.690,331.21,2.61,54,127,567
04/06/2017 12:07:47,89,10.9,2426.980,331.35,2.61,54,124,567
04/06/2017 12:07:57,86,10.9,2424.180,331.23,2.63,53,125,567
04/06/2017 12:08:07,86,10.9,2421.460,330.91,2.64,55,126,567
04/06/2017 12:08:17,88,10.9,2418.780,331.53,2.64,53,134,567
04/06/2017 12:08:27,85,10.9,2415.880,330.44,2.65,53,124,567
04/06/2017 12:08:37,87,10.9,2413.190,330.29,2.66,54,124,567
04/06/2017 12:08:47,80,10.9,2410.360,330.52,2.67,53,125,567
04/06/2017 12:08:57,90,10.9,2407.540,330.56,2.67,52,126,567
04/06/2017 12:09:07,89,10.9,2404.800,331.00,2.67,53,123,567
04/06/2017 12:09:17,102,10.9,2402.150,330.07,2.68,52,127,567
04/06/2017 12:09:27,100,10.9,2399.440,330.58,2.68,53,120,567
04/06/2017 12:09:37,87,10.9,2396.610,329.53,2.72,53,117,567
04/06/2017 12:09:47,96,10.8,2393.850,327.62,2.73,53,120,567
04/06/2017 12:09:57,89,10.9,2391.060,327.39,2.73,53,118,567
04/06/2017 12:10:07,85,10.9,2388.360,327.54,2.74,52,119,567
04/06/2017 12:10:17,92,10.9,2385.640,327.51,2.74,54,119,567
04/06/2017 12:10:27,92,10.8,2382.800,327.28,2.77,52,115,567
04/06/2017 12:10:37,91,10.9,2380.010,325.11,2.79,53,115,567
04/06/2017 12:10:47,90,10.9,2377.350,323.98,2.80,53,114,567
04/06/2017 12:10:57,95,10.9,2374.630,323.55,2.81,52,114,567
04/06/2017 12:11:07,88,10.9,2371.750,322.40,2.82,54,113,567
04/06/2017 12:11:17,94,10.9,2368.960,322.82,2.82,52,114,567
04/06/2017 12:11:27,99,10.9,2366.370,322.46,2.82,54,113,567
04/06/2017 12:11:37,94,10.9,2363.450,322.31,2.82,51,114,567
04/06/2017 12:11:47,94,10.9,2360.860,323.48,2.83,53,112,567
04/06/2017 12:11:57,95,10.9,2357.920,323.21,2.84,53,122,567
04/06/2017 12:12:07,97,10.8,2355.340,322.43,2.84,53,115,567
04/06/2017 12:12:17,93,10.9,2352.450,322.98,2.84,52,117,567
04/06/2017 12:12:27,92,10.9,2349.790,322.78,2.85,53,115,566
04/06/2017 12:12:37,93,10.9,2346.920,323.73,2.85,54,114,567
04/06/2017 12:12:47,88,10.9,2344.360,323.20,2.86,52,113,567
04/06/2017 12:12:57,89,10.9,2341.440,323.26,2.86,52,114,567
04/06/2017 12:13:07,98,10.9,2338.820,323.43,2.86,53,114,567
04/06/2017 12:13:17,103,10.8,2335.990,323.15,2.87,53,114,567
04/06/2017 12:13:27,101,10.9,2333.270,322.90,2.87,51,115,567
04/06/2017 12:13:37,96,10.8,2330.470,323.53,2.87,55,114,567
04/06/2017 12:13:47,92,10.9,2327.700,323.75,2.88,54,116,566
04/06/2017 12:13:57,98,10.9,2324.960,323.61,2.88,54,113,566
04/06/2017 12:14:07,85,10.9,2322.350,322.89,2.89,53,113,566
04/06/2017 12:14:17,90,10.9,2319.520,322.67,2.89,53,112,567
04/06/2017 12:14:27,93,10.9,2316.660,322.53,2.89,54,114,566
04/06/2017 12:14:37,95,10.9,2313.940,322.15,2.90,53,113,567
04/06/2017 12:14:47,97,10.9,2311.290,322.64,2.90,53,112,566
04/06/2017 12:14:57,99,10.9,2308.530,322.28,2.90,53,113,566
04/06/2017 12:15:07,93,10.8,2305.850,321.34,2.90,54,119,566
04/06/2017 12:15:17,93,10.9,2303.030,322.56,2.90,52,112,566
04/06/2017 12:15:27,81,10.9,2300.260,322.11,2.90,52,114,566
04/06/2017 12:15:37,96,10.9,2297.620,322.80,2.90,52,111,566
04/06/2017 12:15:47,102,10.8,2294.780,322.34,2.91,55,112,566
