

 Profile 331

mmho/cm,Celsius,dbars,hz

32.2447,2.5233,2511.840, 0
32.2447,2.5231,2511.750, 0
32.2456,2.5239,2511.800, 0
32.2457,2.5245,2511.830, 0
32.2455,2.5244,2511.790, 0
32.2459,2.5243,2511.830, 0
32.2459,2.5243,2511.790, 0
32.2456,2.5244,2511.820, 0
32.2453,2.5239,2511.760, 0
32.2455,2.5238,2511.870, 0
32.2453,2.5237,2511.760, 0
32.2454,2.5238,2511.880, 0
32.2455,2.5243,2511.790, 0
32.2451,2.5236,2511.920, 0
32.2447,2.5232,2511.810, 0
32.2446,2.5231,2511.800, 0
32.2447,2.5228,2511.940, 0
32.2449,2.5233,2511.800, 0
32.2451,2.5239,2511.900, 0
32.2449,2.5234,2511.860, 0
32.2454,2.5238,2511.750, 0
32.2453,2.5240,2511.890, 0
32.2451,2.5239,2511.820, 0
32.2449,2.5234,2511.830, 0
32.2450,2.5232,2511.930, 0
32.2451,2.5233,2511.750, 0
32.2453,2.5234,2511.840, 0
32.2451,2.5233,2511.880, 0
32.2446,2.5231,2511.800, 0
32.2445,2.5231,2511.840, 0
32.2447,2.5228,2511.870, 0
32.2445,2.5229,2511.840, 0
32.2443,2.5230,2511.890, 0
32.2446,2.5226,2511.800, 0
32.2447,2.5232,2511.820, 0
32.2455,2.5238,2511.900, 0
32.2455,2.5245,2511.770, 0
32.2462,2.5246,2511.840, 0
32.2461,2.5245,2511.960, 0
32.2461,2.5248,2511.810, 0
32.2447,2.5234,2511.910, 0
32.2445,2.5228,2511.790, 0
32.2449,2.5231,2511.790, 0
32.2449,2.5230,2511.900, 0
32.2453,2.5234,2511.840, 0
32.2461,2.5243,2511.820, 0
32.2466,2.5253,2511.890, 0
32.2467,2.5256,2511.850, 0
32.2463,2.5252,2511.780, 0
32.2469,2.5257,2511.880, 0
32.2466,2.5255,2511.860, 0
32.2467,2.5257,2511.810, 0
32.2463,2.5252,2511.900, 0
32.2453,2.5241,2511.910, 0
32.2457,2.5242,2511.770, 0
32.2447,2.5232,2511.910, 0
32.2451,2.5234,2511.880, 0
32.2457,2.5242,2511.760, 0
32.2453,2.5237,2511.830, 0
32.2456,2.5235,2511.900, 0
32.2457,2.5241,2511.820, 0
32.2459,2.5244,2511.820, 0
32.2457,2.5244,2511.860, 0
32.2454,2.5240,2511.780, 0
32.2463,2.5247,2511.870, 0
32.2473,2.5264,2511.890, 0
32.2455,2.5246,2511.790, 0
32.2451,2.5237,2511.800, 0
32.2452,2.5236,2511.930, 0
32.2452,2.5235,2511.860, 0
32.2451,2.5235,2511.820, 0
32.2451,2.5233,2511.930, 0
32.2452,2.5236,2511.770, 0
32.2451,2.5231,2511.880, 0
32.2467,2.5253,2511.830, 0
32.2477,2.5264,2511.810, 0
32.2476,2.5267,2511.890, 0
32.2475,2.5266,2511.930, 0
32.2467,2.5262,2511.790, 0
32.2469,2.5253,2511.870, 0
32.2479,2.5271,2511.940, 0
32.2479,2.5271,2511.770, 0
32.2479,2.5268,2511.870, 0
32.2483,2.5271,2511.900, 0
32.2485,2.5276,2511.830, 0
32.2480,2.5274,2511.760, 0
32.2483,2.5271,2511.850, 0
32.2477,2.5267,2511.960, 0
32.2473,2.5260,2511.860, 0
32.2474,2.5265,2511.800, 0
32.2475,2.5262,2511.940, 0
32.2475,2.5263,2511.820, 0
32.2469,2.5259,2511.790, 0
32.2477,2.5265,2511.930, 0
32.2473,2.5262,2511.850, 0
32.2473,2.5261,2511.720, 0
32.2477,2.5264,2511.860, 0
32.2477,2.5263,2511.900, 0
32.2478,2.5269,2511.780, 0
32.2479,2.5270,2511.840, 0
32.2481,2.5270,2511.920, 0
32.2479,2.5268,2511.840, 0
32.2480,2.5271,2511.840, 0
32.2481,2.5270,2511.950, 0
32.2481,2.5267,2511.900, 0
32.2483,2.5270,2511.850, 0
32.2480,2.5272,2511.900, 0
32.2479,2.5267,2511.830, 0
32.2473,2.5259,2511.870, 0
32.2469,2.5253,2511.790, 0
32.2473,2.5258,2511.850, 0
32.2472,2.5261,2511.930, 0
32.2473,2.5260,2511.860, 0
32.2469,2.5256,2511.820, 0
32.2471,2.5258,2511.930, 0
32.2470,2.5259,2511.950, 0
32.2467,2.5252,2511.730, 0
32.2469,2.5255,2511.860, 0
32.2469,2.5253,2511.920, 0
32.2464,2.5249,2511.800, 0
32.2467,2.5252,2511.770, 0
32.2465,2.5249,2511.800, 0
32.2467,2.5255,2511.630, 0
32.2465,2.5253,2511.480, 0
32.2474,2.5263,2511.340, 0
32.2485,2.5275,2511.240, 0
32.2487,2.5283,2511.120, 0
32.2489,2.5289,2510.870, 0
32.2491,2.5287,2510.720, 0
32.2485,2.5282,2510.580, 0
32.2487,2.5285,2510.330, 0
32.2493,2.5289,2510.070, 0
32.2497,2.5299,2509.830, 0
32.2499,2.5303,2509.760, 0
32.2504,2.5310,2509.430, 0
32.2507,2.5316,2509.100, 0
32.2518,2.5324,2508.880, 0
32.2534,2.5349,2508.700, 0
32.2542,2.5357,2508.500, 0
32.2542,2.5358,2508.150, 0
32.2542,2.5363,2507.830, 0
32.2543,2.5366,2507.600, 0
32.2542,2.5362,2507.420, 0
32.2548,2.5366,2507.130, 0
32.2548,2.5373,2506.870, 0
32.2547,2.5373,2506.410, 0
32.2550,2.5374,2506.240, 0
32.2550,2.5376,2506.010, 0
32.2552,2.5374,2505.650, 0
32.2549,2.5380,2505.340, 0
32.2554,2.5379,2505.150, 0
32.2554,2.5386,2504.870, 0
32.2564,2.5396,2504.550, 0
32.2588,2.5424,2504.240, 0
32.2602,2.5442,2504.090, 0
32.2606,2.5451,2503.840, 0
32.2603,2.5446,2503.500, 0
32.2604,2.5449,2503.150, 0
32.2607,2.5456,2502.950, 0
32.2607,2.5456,2502.740, 0
32.2603,2.5451,2502.420, 0
32.2602,2.5451,2502.090, 0
32.2603,2.5454,2501.820, 0
32.2607,2.5457,2501.600, 0
32.2603,2.5458,2501.350, 0
32.2611,2.5462,2500.970, 0
32.2606,2.5460,2500.750, 0
32.2599,2.5454,2500.420, 0
32.2601,2.5457,2500.260, 0
32.2601,2.5460,2499.960, 0
32.2604,2.5463,2499.680, 0
32.2607,2.5467,2499.270, 0
32.2607,2.5467,2499.080, 0
32.2609,2.5469,2498.870, 0
32.2608,2.5470,2498.600, 0
