
 Profile 342

 Sensors were turned on at  04/22/2017 08:00:02
 Vehicle began profiling at 04/22/2017 08:02:04

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/22/2017 08:02:04,0,11.1,0.000,0.00,0.00,127,143,567
04/22/2017 08:02:14,211,10.7,0.000,0.00,0.00,123,154,566
04/22/2017 08:02:24,177,10.9,0.000,0.00,0.00,118,143,566
04/22/2017 08:02:37,264,10.7,181.910,380.45,4.22,118,147,566
04/22/2017 08:02:47,131,11.0,184.580,380.66,4.22,113,144,566
04/22/2017 08:02:57,143,10.9,187.220,380.34,4.20,107,142,566
04/22/2017 08:03:07,142,10.9,189.900,379.25,4.19,108,140,566
04/22/2017 08:03:17,146,10.9,192.580,379.79,4.19,106,142,566
04/22/2017 08:03:27,147,10.9,195.350,379.56,4.19,105,141,566
04/22/2017 08:03:37,141,10.9,197.960,379.40,4.18,105,149,566
04/22/2017 08:03:47,137,10.9,200.660,379.27,4.18,106,140,565
04/22/2017 08:03:57,147,10.9,203.340,379.23,4.18,105,140,565
04/22/2017 08:04:07,157,10.9,206.000,378.20,4.17,103,140,565
04/22/2017 08:04:17,139,10.9,208.670,378.76,4.17,101,142,565
04/22/2017 08:04:27,148,10.9,211.460,378.29,4.15,99,138,565
04/22/2017 08:04:37,153,10.9,214.090,378.58,4.14,99,139,565
04/22/2017 08:04:47,134,10.9,216.770,377.92,4.14,99,138,565
04/22/2017 08:04:57,143,10.9,219.480,377.45,4.13,98,147,565
04/22/2017 08:05:07,141,10.9,222.160,377.71,4.12,94,137,565
04/22/2017 08:05:17,150,10.9,224.760,377.45,4.11,93,136,565
04/22/2017 08:05:27,146,10.9,227.540,378.20,4.10,90,140,565
04/22/2017 08:05:37,136,10.9,230.220,376.78,4.09,91,134,565
04/22/2017 08:05:47,149,10.9,232.890,377.39,4.09,90,134,565
04/22/2017 08:05:57,133,10.9,235.590,376.29,4.09,89,133,565
04/22/2017 08:06:07,127,10.9,238.160,377.52,4.08,89,132,565
04/22/2017 08:06:17,131,10.9,240.850,376.81,4.08,85,131,565
