
 Profile 321

 Sensors were turned on at  04/04/2017 20:00:02
 Vehicle began profiling at 04/04/2017 20:02:04

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/04/2017 20:02:04,0,11.0,0.000,0.00,0.00,53,125,569
04/04/2017 20:02:14,145,10.8,0.000,0.00,0.00,54,122,569
04/04/2017 20:02:24,130,10.9,0.000,0.00,0.00,53,127,569
04/04/2017 20:02:37,176,10.8,2514.710,335.84,2.24,53,123,569
04/04/2017 20:02:47,77,10.9,2511.560,336.27,2.26,54,122,569
04/04/2017 20:02:57,87,10.9,2508.750,334.72,2.28,52,124,569
04/04/2017 20:03:07,83,11.0,2505.970,335.24,2.29,53,124,569
04/04/2017 20:03:17,81,11.0,2503.080,334.45,2.29,52,126,569
04/04/2017 20:03:27,79,11.0,2500.370,334.96,2.30,52,125,569
04/04/2017 20:03:37,76,11.0,2497.580,334.47,2.31,53,123,569
04/04/2017 20:03:47,74,11.0,2494.710,334.49,2.32,52,127,569
04/04/2017 20:03:57,71,11.0,2491.880,334.67,2.32,53,127,569
04/04/2017 20:04:07,75,10.9,2489.170,335.00,2.32,53,133,569
04/04/2017 20:04:17,73,10.9,2486.310,335.09,2.33,54,131,568
04/04/2017 20:04:27,71,11.0,2483.460,335.13,2.34,54,127,568
04/04/2017 20:04:37,85,10.9,2480.780,335.50,2.35,53,127,568
04/04/2017 20:04:47,68,10.9,2477.850,335.19,2.36,53,132,568
04/04/2017 20:04:57,74,10.9,2475.210,335.61,2.37,51,129,568
04/04/2017 20:05:07,74,10.9,2472.340,336.41,2.39,53,130,568
04/04/2017 20:05:17,73,10.9,2469.610,335.80,2.40,53,127,568
04/04/2017 20:05:27,81,10.9,2466.690,335.47,2.42,52,125,568
04/04/2017 20:05:37,77,10.9,2463.920,334.73,2.42,53,127,568
04/04/2017 20:05:47,79,10.9,2461.200,333.97,2.42,54,124,568
04/04/2017 20:05:57,81,10.9,2458.300,334.09,2.44,53,128,568
04/04/2017 20:06:07,74,10.9,2455.530,334.00,2.45,54,125,568
04/04/2017 20:06:17,68,10.9,2452.830,334.04,2.45,52,130,568
04/04/2017 20:06:27,70,10.9,2449.910,333.77,2.46,53,129,568
04/04/2017 20:06:37,79,10.9,2447.130,333.67,2.47,55,130,568
04/04/2017 20:06:47,64,10.9,2444.430,333.48,2.48,53,126,568
04/04/2017 20:06:57,77,10.9,2441.640,334.33,2.49,54,131,568
04/04/2017 20:07:07,82,10.9,2438.770,333.82,2.49,55,127,568
04/04/2017 20:07:17,79,10.9,2435.920,333.15,2.50,54,134,567
04/04/2017 20:07:27,79,10.9,2433.130,333.31,2.51,53,125,567
04/04/2017 20:07:37,80,10.9,2430.390,333.01,2.51,54,128,568
04/04/2017 20:07:47,71,10.9,2427.720,333.11,2.52,52,127,568
04/04/2017 20:07:57,68,10.9,2424.780,333.34,2.52,52,127,568
04/04/2017 20:08:07,77,10.9,2422.120,333.43,2.53,52,125,567
04/04/2017 20:08:17,79,10.9,2419.300,332.45,2.53,53,127,567
04/04/2017 20:08:27,80,10.9,2416.490,333.22,2.54,55,124,567
04/04/2017 20:08:37,80,10.9,2413.590,331.85,2.55,52,125,567
04/04/2017 20:08:47,72,10.9,2410.920,332.95,2.56,54,124,567
04/04/2017 20:08:57,74,10.9,2408.150,332.41,2.57,54,123,567
04/04/2017 20:09:07,76,10.9,2405.240,331.71,2.57,53,129,567
04/04/2017 20:09:17,70,10.9,2402.450,331.61,2.59,54,136,567
04/04/2017 20:09:27,70,10.9,2399.750,331.34,2.59,53,125,567
04/04/2017 20:09:37,73,10.9,2396.950,330.88,2.60,54,123,567
04/04/2017 20:09:47,73,10.9,2394.060,330.55,2.61,54,131,567
04/04/2017 20:09:57,76,10.9,2391.350,330.71,2.62,53,121,567
04/04/2017 20:10:07,73,10.9,2388.490,330.31,2.63,54,123,567
04/04/2017 20:10:17,70,10.9,2385.630,330.47,2.64,53,122,567
04/04/2017 20:10:27,75,10.9,2382.860,329.55,2.66,53,126,567
04/04/2017 20:10:37,83,10.9,2380.130,327.97,2.67,53,118,567
04/04/2017 20:10:47,78,10.9,2377.310,328.87,2.67,54,119,567
04/04/2017 20:10:57,62,10.9,2374.610,327.94,2.68,55,115,567
04/04/2017 20:11:07,74,10.9,2371.760,327.16,2.68,53,118,567
04/04/2017 20:11:17,64,10.9,2369.020,327.33,2.69,53,115,567
04/04/2017 20:11:27,73,10.9,2366.300,326.98,2.70,53,116,567
04/04/2017 20:11:37,73,10.9,2363.450,326.91,2.71,53,115,567
04/04/2017 20:11:47,73,10.9,2360.760,325.68,2.72,53,114,567
04/04/2017 20:11:57,79,10.9,2357.960,325.47,2.73,53,112,567
04/04/2017 20:12:07,75,10.9,2355.200,325.42,2.73,53,116,567
04/04/2017 20:12:17,72,10.9,2352.320,324.60,2.74,52,114,567
