

 Profile 351

mmho/cm,Celsius,dbars,hz

32.0513,2.3187,2490.280, 0
32.0514,2.3183,2490.360, 0
32.0512,2.3179,2490.380, 0
32.0510,2.3179,2490.350, 0
32.0510,2.3176,2490.180, 0
32.0508,2.3179,2490.370, 0
32.0512,2.3179,2490.220, 0
32.0520,2.3189,2490.360, 0
32.0520,2.3192,2490.210, 0
32.0504,2.3176,2490.330, 0
32.0512,2.3182,2490.270, 0
32.0506,2.3176,2490.350, 0
32.0504,2.3175,2490.300, 0
32.0514,2.3179,2490.300, 0
32.0500,2.3177,2490.360, 0
32.0504,2.3172,2490.250, 0
32.0527,2.3193,2490.390, 0
32.0525,2.3192,2490.250, 0
32.0510,2.3180,2490.320, 0
32.0496,2.3163,2490.300, 0
32.0484,2.3152,2490.350, 0
32.0484,2.3155,2490.350, 0
32.0471,2.3139,2490.210, 0
32.0486,2.3150,2490.370, 0
32.0473,2.3139,2490.270, 0
32.0475,2.3138,2490.350, 0
32.0473,2.3140,2490.390, 0
32.0488,2.3156,2490.290, 0
32.0461,2.3125,2490.380, 0
32.0461,2.3124,2490.320, 0
32.0461,2.3120,2490.320, 0
32.0465,2.3128,2490.350, 0
32.0459,2.3124,2490.310, 0
32.0453,2.3118,2490.360, 0
32.0453,2.3117,2490.310, 0
32.0453,2.3117,2490.340, 0
32.0453,2.3117,2490.290, 0
32.0453,2.3117,2490.270, 0
32.0455,2.3118,2490.390, 0
32.0457,2.3122,2490.270, 0
32.0457,2.3122,2490.370, 0
32.0473,2.3136,2490.300, 0
32.0480,2.3148,2490.280, 0
32.0484,2.3157,2490.380, 0
32.0468,2.3138,2490.370, 0
32.0452,2.3121,2490.320, 0
32.0454,2.3118,2490.380, 0
32.0456,2.3120,2490.240, 0
32.0494,2.3155,2490.400, 0
32.0472,2.3152,2490.320, 0
32.0460,2.3128,2490.360, 0
32.0464,2.3126,2490.350, 0
32.0466,2.3134,2490.300, 0
32.0462,2.3130,2490.410, 0
32.0457,2.3122,2490.300, 0
32.0455,2.3120,2490.290, 0
32.0459,2.3125,2490.330, 0
32.0484,2.3148,2490.260, 0
32.0471,2.3141,2490.330, 0
32.0471,2.3140,2490.340, 0
