

 Profile 343

mmho/cm,Celsius,dbars,hz

31.8436,2.0751,2522.880, 0
31.8430,2.0747,2522.920, 0
31.8436,2.0750,2522.810, 0
31.8434,2.0753,2522.870, 0
31.8435,2.0752,2522.780, 0
31.8437,2.0750,2522.920, 0
31.8435,2.0751,2522.830, 0
31.8437,2.0751,2522.870, 0
31.8436,2.0754,2522.850, 0
31.8436,2.0752,2522.890, 0
31.8435,2.0754,2522.820, 0
31.8435,2.0751,2522.890, 0
31.8437,2.0752,2522.900, 0
31.8438,2.0753,2522.780, 0
31.8444,2.0758,2522.930, 0
31.8444,2.0760,2522.780, 0
31.8443,2.0761,2522.910, 0
31.8443,2.0759,2522.920, 0
31.8445,2.0761,2522.770, 0
31.8446,2.0763,2522.920, 0
31.8446,2.0765,2522.950, 0
31.8444,2.0765,2522.750, 0
31.8447,2.0763,2522.920, 0
31.8449,2.0766,2522.900, 0
31.8449,2.0765,2522.810, 0
31.8448,2.0767,2522.880, 0
31.8448,2.0766,2522.900, 0
31.8450,2.0768,2522.870, 0
31.8449,2.0766,2522.960, 0
31.8447,2.0765,2522.870, 0
31.8451,2.0768,2522.830, 0
31.8450,2.0767,2522.960, 0
31.8448,2.0767,2522.870, 0
31.8453,2.0771,2522.830, 0
31.8457,2.0772,2522.970, 0
31.8469,2.0783,2522.860, 0
31.8463,2.0784,2522.800, 0
31.8462,2.0778,2522.890, 0
31.8464,2.0778,2522.940, 0
31.8455,2.0774,2522.770, 0
31.8451,2.0770,2522.940, 0
31.8453,2.0769,2522.960, 0
31.8457,2.0772,2522.800, 0
31.8460,2.0779,2522.830, 0
31.8460,2.0777,2522.910, 0
31.8465,2.0784,2522.810, 0
31.8473,2.0791,2522.850, 0
31.8475,2.0797,2522.940, 0
31.8475,2.0797,2522.900, 0
31.8478,2.0799,2522.840, 0
31.8478,2.0796,2522.810, 0
31.8477,2.0800,2522.980, 0
31.8475,2.0794,2522.880, 0
31.8471,2.0789,2522.810, 0
31.8471,2.0791,2522.900, 0
31.8474,2.0795,2522.890, 0
31.8472,2.0794,2522.810, 0
31.8475,2.0794,2522.770, 0
31.8477,2.0795,2522.920, 0
31.8477,2.0796,2522.920, 0
31.8478,2.0799,2522.780, 0
31.8480,2.0798,2522.780, 0
31.8478,2.0801,2522.950, 0
31.8478,2.0802,2522.890, 0
31.8478,2.0799,2522.780, 0
31.8478,2.0800,2522.830, 0
31.8478,2.0795,2522.900, 0
31.8478,2.0798,2522.890, 0
31.8478,2.0798,2522.780, 0
31.8478,2.0800,2522.950, 0
31.8478,2.0798,2522.880, 0
31.8477,2.0794,2522.820, 0
31.8475,2.0796,2522.840, 0
31.8474,2.0790,2522.860, 0
31.8470,2.0789,2522.900, 0
31.8477,2.0793,2522.800, 0
31.8478,2.0799,2522.760, 0
31.8475,2.0799,2522.910, 0
31.8477,2.0796,2522.960, 0
31.8476,2.0795,2522.850, 0
31.8478,2.0796,2522.790, 0
31.8478,2.0799,2522.930, 0
31.8478,2.0800,2522.880, 0
31.8480,2.0804,2522.820, 0
31.8478,2.0796,2522.870, 0
31.8476,2.0796,2522.960, 0
31.8478,2.0796,2522.870, 0
31.8477,2.0800,2522.770, 0
31.8477,2.0800,2522.880, 0
31.8475,2.0798,2522.930, 0
31.8477,2.0793,2522.880, 0
31.8474,2.0793,2522.790, 0
31.8472,2.0789,2522.860, 0
31.8475,2.0792,2522.840, 0
31.8475,2.0794,2522.720, 0
31.8477,2.0793,2522.820, 0
31.8475,2.0797,2522.930, 0
31.8472,2.0791,2522.840, 0
31.8474,2.0794,2522.800, 0
31.8477,2.0796,2522.880, 0
31.8480,2.0800,2522.800, 0
31.8478,2.0798,2522.960, 0
31.8469,2.0790,2522.850, 0
31.8470,2.0788,2522.820, 0
31.8470,2.0785,2523.000, 0
31.8469,2.0786,2522.820, 0
31.8471,2.0785,2522.880, 0
31.8471,2.0788,2522.880, 0
31.8472,2.0788,2522.830, 0
31.8470,2.0789,2522.880, 0
31.8466,2.0783,2522.910, 0
31.8467,2.0782,2522.800, 0
31.8463,2.0783,2522.860, 0
31.8463,2.0779,2522.910, 0
31.8465,2.0780,2522.800, 0
31.8468,2.0784,2522.920, 0
31.8468,2.0785,2522.830, 0
31.8467,2.0785,2522.800, 0
31.8469,2.0787,2522.920, 0
31.8465,2.0786,2522.850, 0
31.8464,2.0783,2522.680, 0
31.8466,2.0784,2522.730, 0
31.8468,2.0784,2522.670, 0
31.8465,2.0786,2522.490, 0
31.8467,2.0786,2522.300, 0
31.8473,2.0793,2522.250, 0
31.8482,2.0805,2522.000, 0
31.8498,2.0826,2521.770, 0
31.8508,2.0840,2521.660, 0
31.8519,2.0850,2521.470, 0
31.8537,2.0873,2521.170, 0
31.8551,2.0890,2521.030, 0
31.8558,2.0902,2520.820, 0
31.8574,2.0920,2520.600, 0
31.8580,2.0927,2520.220, 0
31.8584,2.0931,2520.010, 0
31.8590,2.0937,2519.800, 0
31.8592,2.0946,2519.540, 0
31.8592,2.0946,2519.280, 0
31.8620,2.0973,2518.930, 0
31.8632,2.0988,2518.780, 0
31.8646,2.1007,2518.540, 0
31.8670,2.1034,2518.130, 0
31.8676,2.1049,2517.790, 0
31.8676,2.1047,2517.580, 0
31.8684,2.1057,2517.420, 0
31.8713,2.1087,2517.040, 0
31.8751,2.1138,2516.680, 0
31.8766,2.1153,2516.380, 0
31.8766,2.1161,2516.310, 0
31.8768,2.1162,2516.000, 0
31.8776,2.1170,2515.640, 0
