
 Profile 319

 Sensors were turned on at  04/03/2017 04:00:02
 Vehicle began profiling at 04/03/2017 04:02:04

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/03/2017 04:02:04,0,11.0,0.000,0.00,0.00,53,121,570
04/03/2017 04:02:14,183,10.8,0.000,0.00,0.00,53,121,570
04/03/2017 04:02:24,137,10.8,0.000,0.00,0.00,54,121,569
04/03/2017 04:02:37,163,10.8,2519.490,336.84,2.14,53,120,569
04/03/2017 04:02:47,81,11.0,2516.460,336.84,2.16,54,120,569
04/03/2017 04:02:57,80,11.0,2513.530,336.16,2.18,53,119,569
04/03/2017 04:03:07,76,11.0,2510.700,336.35,2.23,54,119,569
04/03/2017 04:03:17,70,11.0,2507.990,335.61,2.25,53,117,569
04/03/2017 04:03:27,87,11.0,2505.150,334.72,2.27,53,118,569
04/03/2017 04:03:37,73,10.9,2502.260,334.91,2.30,53,118,569
04/03/2017 04:03:47,90,10.9,2499.410,333.40,2.30,55,119,569
04/03/2017 04:03:57,86,10.9,2496.760,333.24,2.32,52,122,569
04/03/2017 04:04:07,89,10.9,2493.820,333.09,2.35,53,119,569
04/03/2017 04:04:17,91,10.9,2491.260,332.70,2.37,52,117,569
04/03/2017 04:04:27,87,10.9,2488.450,332.34,2.38,51,117,569
04/03/2017 04:04:37,79,10.9,2485.690,331.87,2.38,53,117,568
04/03/2017 04:04:47,87,10.9,2482.790,331.25,2.39,52,117,568
04/03/2017 04:04:57,75,11.0,2480.030,331.48,2.40,53,118,568
04/03/2017 04:05:07,73,10.9,2477.150,331.51,2.40,53,118,568
04/03/2017 04:05:17,91,10.9,2474.270,331.52,2.40,52,118,568
04/03/2017 04:05:27,83,10.9,2471.560,331.60,2.41,53,122,568
04/03/2017 04:05:37,85,10.9,2468.820,331.09,2.42,52,117,568
04/03/2017 04:05:47,78,10.9,2466.080,331.83,2.44,53,117,568
04/03/2017 04:05:57,70,10.9,2463.130,330.56,2.46,54,115,568
04/03/2017 04:06:07,84,10.9,2460.540,330.22,2.48,54,116,568
04/03/2017 04:06:17,74,10.9,2457.640,329.44,2.50,53,117,568
04/03/2017 04:06:27,80,10.9,2454.800,329.03,2.50,53,116,568
04/03/2017 04:06:37,87,10.9,2452.010,328.32,2.50,53,115,568
04/03/2017 04:06:47,86,10.9,2449.200,328.82,2.51,52,113,568
04/03/2017 04:06:57,82,10.9,2446.530,327.78,2.51,54,114,568
04/03/2017 04:07:07,83,10.9,2443.720,328.34,2.52,54,115,568
04/03/2017 04:07:17,77,10.9,2440.870,327.65,2.52,53,118,568
04/03/2017 04:07:27,79,10.9,2438.100,327.99,2.52,52,115,568
04/03/2017 04:07:37,79,10.9,2435.310,328.08,2.53,53,117,568
04/03/2017 04:07:47,81,10.9,2432.520,327.33,2.54,54,114,568
04/03/2017 04:07:57,65,10.9,2429.780,326.66,2.55,53,117,568
04/03/2017 04:08:07,77,10.9,2427.090,327.23,2.55,53,115,568
04/03/2017 04:08:17,87,10.9,2424.270,327.32,2.56,53,120,568
04/03/2017 04:08:27,80,10.9,2421.430,327.40,2.56,53,116,568
04/03/2017 04:08:37,76,10.9,2418.660,327.57,2.57,52,115,567
04/03/2017 04:08:47,73,10.9,2415.840,327.46,2.57,52,121,568
04/03/2017 04:08:57,77,10.9,2413.050,327.08,2.57,54,117,567
04/03/2017 04:09:07,84,10.9,2410.270,327.33,2.57,53,118,567
04/03/2017 04:09:17,77,10.9,2407.430,328.37,2.57,52,117,567
04/03/2017 04:09:27,80,10.9,2404.770,328.56,2.57,53,120,568
04/03/2017 04:09:37,77,10.9,2401.830,328.87,2.57,54,120,567
04/03/2017 04:09:47,82,10.9,2399.200,329.41,2.59,55,123,567
04/03/2017 04:09:57,79,10.9,2396.410,330.28,2.61,54,120,567
04/03/2017 04:10:07,81,10.9,2393.540,330.59,2.61,54,118,567
04/03/2017 04:10:17,73,10.9,2390.810,329.54,2.62,52,120,567
04/03/2017 04:10:27,85,10.9,2387.980,330.11,2.62,53,119,567
04/03/2017 04:10:37,75,10.9,2385.250,329.32,2.63,54,118,567
04/03/2017 04:10:47,72,10.9,2382.430,329.98,2.63,53,118,567
04/03/2017 04:10:57,72,10.9,2379.530,329.03,2.64,54,115,567
04/03/2017 04:11:07,77,10.9,2376.880,327.75,2.67,52,114,567
04/03/2017 04:11:17,81,10.9,2374.170,326.34,2.69,53,114,567
04/03/2017 04:11:27,73,10.9,2371.270,325.21,2.70,55,114,567
04/03/2017 04:11:37,80,10.9,2368.380,322.83,2.71,52,114,567
04/03/2017 04:11:47,90,10.9,2365.660,323.70,2.71,53,112,567
04/03/2017 04:11:57,76,10.9,2362.890,323.45,2.71,53,113,567
04/03/2017 04:12:07,76,10.9,2360.140,322.93,2.72,53,112,567
04/03/2017 04:12:17,84,10.9,2357.400,322.96,2.72,53,113,567
04/03/2017 04:12:27,83,10.9,2354.590,322.34,2.72,52,111,567
04/03/2017 04:12:37,84,10.9,2351.870,323.42,2.72,53,114,567
04/03/2017 04:12:47,78,10.9,2349.090,322.97,2.73,53,111,567
