
 Profile 348

 Sensors were turned on at  04/27/2017 08:00:02
 Vehicle began profiling at 04/27/2017 08:02:03

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/27/2017 08:02:03,0,11.1,0.000,0.00,0.00,73,128,567
04/27/2017 08:02:13,209,10.7,0.000,0.00,0.00,72,129,567
04/27/2017 08:02:23,177,10.8,0.000,0.00,0.00,67,128,567
04/27/2017 08:02:36,336,10.6,211.170,376.59,3.93,66,126,566
04/27/2017 08:02:46,197,10.9,213.820,375.59,3.92,65,126,566
04/27/2017 08:02:56,197,10.9,216.470,375.17,3.92,64,126,566
04/27/2017 08:03:06,187,10.9,219.140,375.75,3.91,65,126,566
04/27/2017 08:03:16,186,10.9,221.860,376.00,3.89,72,130,566
04/27/2017 08:03:26,195,10.9,224.370,376.27,3.90,65,128,566
04/27/2017 08:03:36,173,10.9,227.080,376.31,3.90,63,127,566
04/27/2017 08:03:46,187,10.9,229.770,376.07,3.89,68,126,566
04/27/2017 08:03:56,190,10.8,232.280,375.88,3.88,66,129,566
04/27/2017 08:04:06,187,10.9,234.890,376.04,3.86,73,129,566
04/27/2017 08:04:16,196,10.8,237.600,376.39,3.85,72,129,566
04/27/2017 08:04:26,197,10.8,240.230,377.56,3.85,71,129,566
04/27/2017 08:04:36,174,10.8,242.760,376.08,3.85,69,131,566
04/27/2017 08:04:46,188,10.9,245.380,376.68,3.84,67,128,566
04/27/2017 08:04:56,182,10.8,248.140,375.63,3.84,70,132,566
04/27/2017 08:05:06,191,10.8,250.700,376.05,3.81,70,133,566
04/27/2017 08:05:16,187,10.8,253.280,377.28,3.79,73,133,565
04/27/2017 08:05:26,181,10.8,256.000,377.99,3.78,67,127,565
04/27/2017 08:05:36,210,10.8,258.660,376.91,3.79,66,128,565
04/27/2017 08:05:46,174,10.8,261.210,375.67,3.80,64,128,565
04/27/2017 08:05:56,191,10.8,263.780,374.51,3.80,65,163,565
04/27/2017 08:06:06,182,10.8,266.440,375.09,3.80,63,125,565
04/27/2017 08:06:16,192,10.8,269.090,374.16,3.80,59,123,565
04/27/2017 08:06:26,190,10.8,271.560,372.74,3.79,63,126,565
04/27/2017 08:06:36,193,10.8,274.250,372.77,3.77,63,126,565
04/27/2017 08:06:46,181,10.8,276.790,373.17,3.77,61,124,565
04/27/2017 08:06:56,179,10.8,279.380,372.09,3.77,58,123,565
04/27/2017 08:07:06,183,10.8,282.070,372.69,3.78,57,124,565
04/27/2017 08:07:16,189,10.8,284.600,371.44,3.78,57,126,565
04/27/2017 08:07:26,206,10.8,287.360,370.83,3.77,56,123,565
04/27/2017 08:07:36,164,10.8,289.840,371.61,3.77,56,120,565
04/27/2017 08:07:46,210,10.8,292.470,370.56,3.76,57,120,565
04/27/2017 08:07:56,186,10.8,295.130,371.29,3.76,55,120,565
04/27/2017 08:08:06,186,10.8,297.720,370.55,3.76,57,121,565
04/27/2017 08:08:16,178,10.8,300.370,372.09,3.73,62,124,565
04/27/2017 08:08:26,185,10.8,302.970,374.17,3.71,62,125,565
04/27/2017 08:08:36,169,10.8,305.540,373.81,3.70,62,132,565
04/27/2017 08:08:46,181,10.7,308.180,375.16,3.70,64,126,565
04/27/2017 08:08:56,151,10.8,310.740,376.31,3.70,64,125,565
04/27/2017 08:09:06,188,10.8,313.430,376.84,3.70,64,125,565
04/27/2017 08:09:16,150,10.8,316.070,375.97,3.70,64,126,565
04/27/2017 08:09:26,204,10.7,318.700,375.44,3.69,62,125,565
04/27/2017 08:09:36,169,10.8,321.250,375.49,3.69,62,124,565
04/27/2017 08:09:46,185,10.8,323.790,376.27,3.69,62,125,565
04/27/2017 08:09:56,187,10.7,326.420,376.08,3.69,63,123,565
04/27/2017 08:10:06,186,10.7,329.130,375.91,3.70,62,125,565
04/27/2017 08:10:16,192,10.8,331.690,374.97,3.70,60,126,565
04/27/2017 08:10:26,177,10.7,334.200,375.66,3.70,62,123,565
04/27/2017 08:10:36,169,10.7,336.840,374.64,3.70,61,122,565
04/27/2017 08:10:46,188,10.7,339.460,373.94,3.70,60,126,565
04/27/2017 08:10:56,181,10.8,342.060,375.26,3.70,61,123,565
04/27/2017 08:11:06,155,10.8,344.550,374.17,3.70,58,123,565
04/27/2017 08:11:16,179,10.7,347.310,374.07,3.69,59,123,565
04/27/2017 08:11:26,195,10.7,349.830,374.43,3.69,59,124,565
04/27/2017 08:11:36,168,10.7,352.440,373.43,3.69,59,122,565
04/27/2017 08:11:46,181,10.7,354.980,374.02,3.69,58,125,565
04/27/2017 08:11:56,175,10.7,357.580,374.06,3.69,58,120,565
04/27/2017 08:12:06,181,10.7,360.340,374.01,3.69,59,121,565
04/27/2017 08:12:16,167,10.7,362.760,374.17,3.69,59,122,565
04/27/2017 08:12:26,198,10.8,365.530,374.57,3.69,60,122,565
04/27/2017 08:12:36,204,10.7,368.050,373.22,3.68,60,122,565
04/27/2017 08:12:46,187,10.7,370.560,374.34,3.68,59,121,565
04/27/2017 08:12:56,182,10.7,373.250,374.70,3.68,60,122,565
04/27/2017 08:13:06,196,10.7,375.880,375.18,3.68,60,122,565
04/27/2017 08:13:16,181,10.7,378.410,373.94,3.68,59,127,565
04/27/2017 08:13:26,195,10.7,380.970,374.32,3.68,59,121,565
04/27/2017 08:13:36,188,10.7,383.490,375.10,3.68,60,121,565
04/27/2017 08:13:46,172,10.7,386.100,375.03,3.68,59,122,565
04/27/2017 08:13:56,182,10.7,388.730,374.44,3.68,59,122,565
