
 Profile 341

 Sensors were turned on at  04/21/2017 12:00:02
 Vehicle began profiling at 04/21/2017 12:02:04

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/21/2017 12:02:04,0,11.0,0.000,0.00,0.00,53,122,570
04/21/2017 12:02:14,159,10.8,0.000,0.00,0.00,53,120,569
04/21/2017 12:02:24,124,10.9,0.000,0.00,0.00,53,123,569
04/21/2017 12:02:37,159,10.8,2504.260,338.41,2.18,53,122,569
04/21/2017 12:02:47,75,11.0,2501.310,338.17,2.22,52,121,569
04/21/2017 12:02:57,66,11.0,2498.530,336.46,2.24,54,126,569
04/21/2017 12:03:07,69,11.0,2495.790,336.01,2.26,53,119,569
04/21/2017 12:03:17,73,11.0,2492.990,335.87,2.28,53,120,569
04/21/2017 12:03:27,73,11.0,2490.160,335.66,2.30,52,121,569
04/21/2017 12:03:37,71,11.0,2487.360,334.98,2.31,54,119,569
04/21/2017 12:03:47,69,11.0,2484.540,334.28,2.33,52,118,569
04/21/2017 12:03:57,73,10.9,2481.710,333.63,2.36,54,118,569
04/21/2017 12:04:07,75,11.0,2478.840,333.26,2.38,51,118,569
04/21/2017 12:04:17,79,10.9,2475.950,332.40,2.39,53,117,568
04/21/2017 12:04:27,72,10.9,2473.240,332.48,2.40,52,117,569
04/21/2017 12:04:37,78,11.0,2470.500,331.80,2.41,54,120,568
04/21/2017 12:04:47,73,10.9,2467.690,331.90,2.42,54,119,568
04/21/2017 12:04:57,70,11.0,2464.790,332.21,2.42,53,119,568
04/21/2017 12:05:07,74,10.9,2462.060,331.26,2.43,54,118,568
04/21/2017 12:05:17,76,10.9,2459.160,331.50,2.45,52,117,568
04/21/2017 12:05:27,70,10.9,2456.490,330.25,2.46,53,117,568
04/21/2017 12:05:37,85,10.9,2453.690,331.12,2.47,52,116,568
04/21/2017 12:05:47,71,10.9,2450.860,330.37,2.48,53,119,568
04/21/2017 12:05:57,77,10.9,2448.070,330.01,2.48,55,116,568
04/21/2017 12:06:07,85,10.9,2445.120,329.87,2.48,53,118,568
04/21/2017 12:06:17,72,10.9,2442.460,330.10,2.48,53,116,568
04/21/2017 12:06:27,66,10.9,2439.630,330.40,2.49,53,115,568
04/21/2017 12:06:37,70,10.9,2436.870,329.28,2.51,52,116,568
04/21/2017 12:06:47,69,10.9,2434.080,329.87,2.51,53,117,568
04/21/2017 12:06:57,71,10.9,2431.190,329.15,2.52,53,115,568
04/21/2017 12:07:07,70,10.9,2428.470,328.51,2.52,54,115,568
04/21/2017 12:07:17,75,10.9,2425.590,328.74,2.53,54,115,568
04/21/2017 12:07:27,74,10.9,2422.880,328.89,2.54,53,116,568
04/21/2017 12:07:37,70,10.9,2420.040,328.58,2.55,54,116,568
04/21/2017 12:07:47,65,10.9,2417.340,328.47,2.56,54,116,568
04/21/2017 12:07:57,75,10.9,2414.450,328.05,2.57,53,114,568
04/21/2017 12:08:07,72,10.9,2411.730,327.60,2.59,52,114,567
04/21/2017 12:08:17,80,10.9,2408.940,327.43,2.60,54,113,567
04/21/2017 12:08:27,83,10.9,2406.000,326.16,2.62,54,114,567
