

 Profile 339

mmho/cm,Celsius,dbars,hz

32.0622,2.3224,2510.970, 0
32.0622,2.3222,2510.940, 0
32.0623,2.3221,2510.940, 0
32.0623,2.3222,2510.960, 0
32.0619,2.3218,2511.010, 0
32.0621,2.3218,2511.050, 0
32.0623,2.3222,2510.950, 0
32.0625,2.3225,2510.960, 0
32.0627,2.3225,2510.980, 0
32.0627,2.3228,2510.920, 0
32.0629,2.3229,2511.040, 0
32.0631,2.3234,2510.910, 0
32.0629,2.3234,2511.070, 0
32.0628,2.3233,2510.960, 0
32.0630,2.3232,2511.030, 0
32.0630,2.3234,2510.920, 0
32.0632,2.3233,2511.000, 0
32.0635,2.3235,2510.930, 0
32.0630,2.3233,2511.060, 0
32.0631,2.3234,2510.900, 0
32.0637,2.3237,2511.020, 0
32.0639,2.3241,2510.900, 0
32.0633,2.3234,2510.960, 0
32.0633,2.3235,2510.970, 0
32.0635,2.3236,2510.920, 0
32.0633,2.3232,2511.020, 0
32.0633,2.3237,2511.010, 0
32.0633,2.3237,2511.080, 0
32.0635,2.3238,2510.920, 0
32.0635,2.3240,2511.050, 0
32.0637,2.3240,2511.020, 0
32.0643,2.3241,2510.890, 0
32.0643,2.3243,2511.090, 0
32.0643,2.3247,2510.930, 0
32.0645,2.3247,2510.920, 0
32.0649,2.3251,2511.000, 0
32.0647,2.3249,2510.980, 0
32.0649,2.3253,2510.930, 0
32.0649,2.3253,2511.040, 0
32.0650,2.3251,2510.870, 0
32.0652,2.3254,2511.050, 0
32.0650,2.3255,2511.020, 0
32.0650,2.3254,2510.930, 0
32.0652,2.3257,2511.060, 0
32.0652,2.3255,2510.960, 0
32.0652,2.3255,2510.880, 0
32.0649,2.3254,2511.050, 0
32.0652,2.3257,2510.950, 0
32.0654,2.3259,2510.990, 0
32.0660,2.3264,2511.050, 0
32.0660,2.3264,2510.900, 0
32.0656,2.3262,2510.980, 0
32.0656,2.3260,2511.090, 0
32.0654,2.3256,2510.960, 0
32.0655,2.3258,2511.010, 0
32.0655,2.3258,2511.070, 0
32.0653,2.3257,2510.970, 0
32.0657,2.3258,2510.990, 0
32.0661,2.3263,2511.000, 0
32.0659,2.3262,2510.940, 0
32.0658,2.3265,2510.960, 0
32.0658,2.3264,2511.070, 0
32.0658,2.3261,2510.990, 0
32.0660,2.3263,2510.920, 0
32.0662,2.3266,2511.100, 0
32.0662,2.3269,2510.990, 0
32.0660,2.3265,2510.950, 0
32.0662,2.3267,2511.080, 0
32.0662,2.3265,2511.000, 0
32.0662,2.3266,2510.950, 0
32.0662,2.3267,2511.020, 0
32.0664,2.3266,2511.030, 0
32.0664,2.3269,2510.940, 0
32.0667,2.3270,2511.050, 0
32.0671,2.3271,2511.020, 0
32.0673,2.3280,2510.950, 0
32.0671,2.3279,2511.020, 0
32.0669,2.3275,2511.030, 0
32.0671,2.3279,2511.000, 0
32.0672,2.3278,2510.920, 0
32.0668,2.3276,2511.060, 0
32.0668,2.3274,2511.020, 0
32.0670,2.3274,2510.960, 0
32.0666,2.3276,2511.050, 0
32.0670,2.3276,2511.110, 0
32.0672,2.3276,2510.970, 0
32.0670,2.3274,2510.980, 0
32.0666,2.3274,2511.050, 0
32.0664,2.3273,2510.910, 0
32.0668,2.3274,2510.990, 0
32.0668,2.3274,2511.000, 0
32.0668,2.3276,2510.950, 0
32.0670,2.3275,2511.070, 0
32.0665,2.3273,2511.020, 0
32.0667,2.3272,2510.920, 0
32.0669,2.3272,2510.920, 0
32.0669,2.3273,2511.040, 0
32.0669,2.3270,2510.900, 0
32.0666,2.3270,2511.000, 0
32.0666,2.3272,2511.060, 0
32.0668,2.3272,2510.940, 0
32.0668,2.3277,2511.020, 0
32.0666,2.3274,2511.030, 0
32.0666,2.3271,2510.920, 0
32.0670,2.3272,2511.050, 0
32.0670,2.3276,2510.990, 0
32.0670,2.3274,2511.000, 0
32.0668,2.3275,2511.090, 0
32.0666,2.3270,2510.870, 0
32.0664,2.3269,2511.010, 0
32.0662,2.3269,2511.010, 0
32.0664,2.3267,2510.960, 0
32.0663,2.3265,2511.020, 0
32.0663,2.3268,2511.010, 0
32.0661,2.3265,2510.900, 0
32.0663,2.3262,2511.040, 0
32.0659,2.3261,2510.950, 0
32.0653,2.3253,2511.060, 0
32.0656,2.3255,2511.020, 0
32.0656,2.3259,2510.930, 0
32.0654,2.3259,2511.020, 0
32.0654,2.3258,2510.960, 0
32.0670,2.3271,2510.740, 0
32.0672,2.3281,2510.720, 0
32.0668,2.3274,2510.560, 0
32.0660,2.3269,2510.320, 0
32.0658,2.3269,2510.270, 0
32.0660,2.3267,2510.050, 0
32.0672,2.3281,2509.850, 0
32.0672,2.3287,2509.610, 0
32.0678,2.3290,2509.500, 0
32.0694,2.3305,2509.190, 0
32.0719,2.3341,2508.960, 0
32.0748,2.3377,2508.770, 0
32.0764,2.3397,2508.520, 0
32.0780,2.3420,2508.170, 0
32.0794,2.3440,2507.990, 0
32.0808,2.3453,2507.750, 0
32.0828,2.3480,2507.440, 0
32.0838,2.3491,2507.200, 0
32.0842,2.3497,2507.040, 0
32.0861,2.3517,2506.670, 0
32.0893,2.3556,2506.390, 0
32.0903,2.3575,2506.180, 0
32.0909,2.3579,2505.840, 0
32.0924,2.3598,2505.520, 0
32.0930,2.3608,2505.350, 0
32.0936,2.3614,2505.090, 0
32.0950,2.3631,2504.790, 0
32.0956,2.3639,2504.480, 0
32.0973,2.3660,2504.290, 0
32.1017,2.3704,2503.950, 0
32.1064,2.3771,2503.610, 0
32.1123,2.3845,2503.350, 0
32.1159,2.3893,2503.180, 0
32.1163,2.3901,2502.830, 0
32.1167,2.3905,2502.510, 0
32.1169,2.3906,2502.270, 0
32.1170,2.3909,2502.050, 0
32.1177,2.3914,2501.740, 0
32.1177,2.3915,2501.450, 0
32.1175,2.3916,2501.120, 0
32.1179,2.3919,2501.010, 0
32.1187,2.3930,2500.650, 0
32.1186,2.3927,2500.260, 0
32.1192,2.3936,2499.930, 0
32.1198,2.3946,2499.780, 0
32.1199,2.3949,2499.580, 0
32.1209,2.3962,2499.250, 0
32.1217,2.3966,2498.910, 0
32.1214,2.3969,2498.610, 0
32.1224,2.3979,2498.410, 0
32.1222,2.3979,2498.160, 0
32.1238,2.3992,2497.790, 0
32.1248,2.4009,2497.510, 0
32.1261,2.4030,2497.260, 0
32.1281,2.4049,2497.040, 0
32.1284,2.4058,2496.790, 0
32.1290,2.4066,2496.380, 0
32.1295,2.4074,2496.120, 0
32.1301,2.4078,2495.920, 0
32.1301,2.4081,2495.680, 0
32.1305,2.4083,2495.400, 0
32.1317,2.4100,2495.000, 0
32.1319,2.4108,2494.740, 0
32.1318,2.4107,2494.590, 0
32.1320,2.4108,2494.280, 0
32.1320,2.4108,2494.010, 0
32.1323,2.4112,2493.600, 0
32.1323,2.4114,2493.390, 0
32.1323,2.4117,2493.210, 0
32.1323,2.4118,2492.890, 0
32.1324,2.4118,2492.570, 0
32.1324,2.4122,2492.270, 0
32.1326,2.4126,2491.950, 0
32.1330,2.4132,2491.790, 0
32.1322,2.4125,2491.500, 0
32.1360,2.4163,2491.270, 0
32.1382,2.4192,2490.820, 0
32.1409,2.4230,2490.580, 0
32.1413,2.4236,2490.360, 0
32.1423,2.4245,2490.170, 0
32.1428,2.4250,2489.860, 0
32.1425,2.4252,2489.500, 0
32.1429,2.4254,2489.130, 0
32.1431,2.4255,2488.970, 0
32.1455,2.4287,2488.740, 0
32.1465,2.4295,2488.500, 0
32.1480,2.4318,2488.150, 0
32.1492,2.4336,2487.800, 0
32.1502,2.4348,2487.530, 0
32.1507,2.4358,2487.190, 0
32.1508,2.4357,2487.050, 0
32.1512,2.4364,2486.850, 0
32.1516,2.4371,2486.470, 0
32.1532,2.4386,2486.140, 0
32.1534,2.4396,2485.860, 0
32.1543,2.4411,2485.610, 0
32.1545,2.4414,2485.420, 0
32.1542,2.4409,2485.130, 0
32.1546,2.4420,2484.780, 0
32.1565,2.4441,2484.420, 0
32.1601,2.4489,2484.200, 0
32.1623,2.4524,2484.010, 0
32.1634,2.4545,2483.740, 0
32.1642,2.4559,2483.430, 0
32.1648,2.4559,2483.020, 0
32.1646,2.4569,2482.800, 0
32.1648,2.4569,2482.600, 0
32.1642,2.4565,2482.390, 0
32.1640,2.4564,2482.080, 0
32.1638,2.4562,2481.720, 0
32.1634,2.4561,2481.380, 0
32.1634,2.4562,2481.170, 0
32.1630,2.4563,2481.010, 0
32.1628,2.4559,2480.680, 0
32.1620,2.4560,2480.320, 0
32.1620,2.4559,2480.060, 0
32.1620,2.4567,2479.780, 0
32.1628,2.4576,2479.600, 0
32.1654,2.4600,2479.270, 0
32.1680,2.4635,2478.960, 0
32.1698,2.4653,2478.640, 0
32.1713,2.4674,2478.410, 0
32.1731,2.4695,2478.180, 0
32.1740,2.4708,2477.960, 0
32.1747,2.4719,2477.690, 0
32.1757,2.4732,2477.280, 0
32.1757,2.4735,2477.050, 0
32.1755,2.4733,2476.860, 0
32.1753,2.4735,2476.570, 0
32.1748,2.4732,2476.210, 0
32.1749,2.4729,2475.890, 0
32.1749,2.4731,2475.660, 0
32.1749,2.4733,2475.470, 0
32.1747,2.4732,2475.160, 0
32.1743,2.4733,2474.780, 0
32.1743,2.4731,2474.580, 0
32.1746,2.4732,2474.350, 0
32.1739,2.4727,2474.140, 0
32.1737,2.4727,2473.680, 0
32.1737,2.4727,2473.470, 0
32.1739,2.4731,2473.270, 0
32.1752,2.4749,2472.890, 0
32.1754,2.4752,2472.570, 0
32.1753,2.4754,2472.310, 0
32.1751,2.4749,2472.110, 0
32.1753,2.4752,2471.880, 0
32.1749,2.4750,2471.480, 0
32.1745,2.4749,2471.200, 0
32.1753,2.4755,2471.040, 0
32.1757,2.4759,2470.710, 0
32.1755,2.4763,2470.340, 0
32.1755,2.4763,2470.180, 0
32.1755,2.4764,2469.910, 0
32.1753,2.4760,2469.550, 0
32.1753,2.4759,2469.230, 0
32.1749,2.4758,2469.080, 0
32.1753,2.4758,2468.840, 0
32.1762,2.4774,2468.480, 0
32.1782,2.4799,2468.110, 0
32.1784,2.4807,2467.970, 0
32.1790,2.4814,2467.670, 0
32.1792,2.4814,2467.350, 0
32.1792,2.4818,2467.090, 0
32.1790,2.4817,2466.870, 0
32.1792,2.4819,2466.530, 0
32.1794,2.4825,2466.230, 0
32.1796,2.4826,2465.930, 0
32.1796,2.4828,2465.770, 0
32.1800,2.4837,2465.470, 0
32.1798,2.4833,2465.130, 0
32.1800,2.4838,2464.800, 0
32.1814,2.4853,2464.570, 0
32.1828,2.4873,2464.340, 0
32.1851,2.4902,2464.160, 0
32.1859,2.4913,2463.780, 0
32.1867,2.4924,2463.440, 0
32.1909,2.4969,2463.220, 0
32.1986,2.5064,2462.990, 0
32.2001,2.5098,2462.730, 0
32.2004,2.5099,2462.390, 0
32.2004,2.5095,2462.130, 0
32.2004,2.5097,2461.890, 0
32.2006,2.5097,2461.640, 0
32.2005,2.5098,2461.290, 0
32.2013,2.5105,2460.980, 0
32.2017,2.5114,2460.720, 0
32.2020,2.5116,2460.500, 0
32.2021,2.5121,2460.190, 0
32.2023,2.5126,2459.870, 0
32.2025,2.5128,2459.620, 0
32.2027,2.5130,2459.550, 0
32.2031,2.5131,2459.130, 0
32.2033,2.5139,2458.760, 0
32.2035,2.5140,2458.550, 0
